run_tag=nc_gpu_20260722_e7f1759
git_commit=e7f175990b02aa3cbdb7c92250d57c0272abef9d
start_utc=2026-07-23T05:20:40Z
command=env PYTHONUNBUFFERED=1 OPENBLAS_NUM_THREADS=16 OMP_NUM_THREADS=16 MKL_NUM_THREADS=16 taskset -c 0-31 /home/crl/miniconda3/envs/ad/bin/python -u scripts/export_matched_loio_views.py --base-config configs/generated/mvtec_full/calib_subspace_head_mvtec_bottle_k1_seed0.yaml --dataset mvtec --classes bottle cable capsule carpet grid hazelnut leather metal_nut pill screw tile toothbrush transistor wood zipper --k-shots 4 8 --seeds 0 1 2 3 4 --corruptions clean gaussian_noise blur brightness_contrast jpeg --max-images 120 --tmp-root /home/crl/MoME/other/AD/tmp/ad-neurocomputing/corruptions --out-dir outputs/paper_tables --run-tag mvtec_nc_gpu_20260722_e7f1759 --rho 0.01 --resume 
/home/crl/.cache/torch/hub/facebookresearch_dinov2_main/dinov2/layers/swiglu_ffn.py:51: UserWarning: xFormers is not available (SwiGLU)
  warnings.warn("xFormers is not available (SwiGLU)")
/home/crl/.cache/torch/hub/facebookresearch_dinov2_main/dinov2/layers/attention.py:33: UserWarning: xFormers is not available (Attention)
  warnings.warn("xFormers is not available (Attention)")
/home/crl/.cache/torch/hub/facebookresearch_dinov2_main/dinov2/layers/block.py:40: UserWarning: xFormers is not available (Block)
  warnings.warn("xFormers is not available (Block)")
matched_loio_progress=313/750 dataset=mvtec class=leather k=4 seed=2 corruption=blur
matched_loio_progress=314/750 dataset=mvtec class=leather k=4 seed=2 corruption=brightness_contrast
matched_loio_progress=315/750 dataset=mvtec class=leather k=4 seed=2 corruption=jpeg
matched_loio_progress=316/750 dataset=mvtec class=leather k=4 seed=3 corruption=clean
matched_loio_progress=317/750 dataset=mvtec class=leather k=4 seed=3 corruption=gaussian_noise
matched_loio_progress=318/750 dataset=mvtec class=leather k=4 seed=3 corruption=blur
matched_loio_progress=319/750 dataset=mvtec class=leather k=4 seed=3 corruption=brightness_contrast
matched_loio_progress=320/750 dataset=mvtec class=leather k=4 seed=3 corruption=jpeg
matched_loio_progress=321/750 dataset=mvtec class=leather k=4 seed=4 corruption=clean
matched_loio_progress=322/750 dataset=mvtec class=leather k=4 seed=4 corruption=gaussian_noise
matched_loio_progress=323/750 dataset=mvtec class=leather k=4 seed=4 corruption=blur
matched_loio_progress=324/750 dataset=mvtec class=leather k=4 seed=4 corruption=brightness_contrast
matched_loio_progress=325/750 dataset=mvtec class=leather k=4 seed=4 corruption=jpeg
matched_loio_progress=326/750 dataset=mvtec class=leather k=8 seed=0 corruption=clean
matched_loio_progress=327/750 dataset=mvtec class=leather k=8 seed=0 corruption=gaussian_noise
matched_loio_progress=328/750 dataset=mvtec class=leather k=8 seed=0 corruption=blur
matched_loio_progress=329/750 dataset=mvtec class=leather k=8 seed=0 corruption=brightness_contrast
matched_loio_progress=330/750 dataset=mvtec class=leather k=8 seed=0 corruption=jpeg
matched_loio_progress=331/750 dataset=mvtec class=leather k=8 seed=1 corruption=clean
matched_loio_progress=332/750 dataset=mvtec class=leather k=8 seed=1 corruption=gaussian_noise
matched_loio_progress=333/750 dataset=mvtec class=leather k=8 seed=1 corruption=blur
matched_loio_progress=334/750 dataset=mvtec class=leather k=8 seed=1 corruption=brightness_contrast
matched_loio_progress=335/750 dataset=mvtec class=leather k=8 seed=1 corruption=jpeg
matched_loio_progress=336/750 dataset=mvtec class=leather k=8 seed=2 corruption=clean
matched_loio_progress=337/750 dataset=mvtec class=leather k=8 seed=2 corruption=gaussian_noise
matched_loio_progress=338/750 dataset=mvtec class=leather k=8 seed=2 corruption=blur
matched_loio_progress=339/750 dataset=mvtec class=leather k=8 seed=2 corruption=brightness_contrast
matched_loio_progress=340/750 dataset=mvtec class=leather k=8 seed=2 corruption=jpeg
matched_loio_progress=341/750 dataset=mvtec class=leather k=8 seed=3 corruption=clean
matched_loio_progress=342/750 dataset=mvtec class=leather k=8 seed=3 corruption=gaussian_noise
matched_loio_progress=343/750 dataset=mvtec class=leather k=8 seed=3 corruption=blur
matched_loio_progress=344/750 dataset=mvtec class=leather k=8 seed=3 corruption=brightness_contrast
matched_loio_progress=345/750 dataset=mvtec class=leather k=8 seed=3 corruption=jpeg
matched_loio_progress=346/750 dataset=mvtec class=leather k=8 seed=4 corruption=clean
matched_loio_progress=347/750 dataset=mvtec class=leather k=8 seed=4 corruption=gaussian_noise
matched_loio_progress=348/750 dataset=mvtec class=leather k=8 seed=4 corruption=blur
matched_loio_progress=349/750 dataset=mvtec class=leather k=8 seed=4 corruption=brightness_contrast
matched_loio_progress=350/750 dataset=mvtec class=leather k=8 seed=4 corruption=jpeg
matched_loio_progress=351/750 dataset=mvtec class=metal_nut k=4 seed=0 corruption=clean
matched_loio_progress=352/750 dataset=mvtec class=metal_nut k=4 seed=0 corruption=gaussian_noise
matched_loio_progress=353/750 dataset=mvtec class=metal_nut k=4 seed=0 corruption=blur
matched_loio_progress=354/750 dataset=mvtec class=metal_nut k=4 seed=0 corruption=brightness_contrast
matched_loio_progress=355/750 dataset=mvtec class=metal_nut k=4 seed=0 corruption=jpeg
matched_loio_progress=356/750 dataset=mvtec class=metal_nut k=4 seed=1 corruption=clean
matched_loio_progress=357/750 dataset=mvtec class=metal_nut k=4 seed=1 corruption=gaussian_noise
matched_loio_progress=358/750 dataset=mvtec class=metal_nut k=4 seed=1 corruption=blur
matched_loio_progress=359/750 dataset=mvtec class=metal_nut k=4 seed=1 corruption=brightness_contrast
