dataset,category,split,label,defect_type,image_path,image_bytes,image_sha256,mask_path,mask_sha256
mvtec,bottle,train,0,good,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/000.png,532823,8a25eb07475a5102f4823fefd82662dd65f8f2a0a333bf958124ceeee38f0e38,,
mvtec,bottle,train,0,good,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/001.png,531263,ba13b82fc8c732a02277816521fe93a0fee00c524f2742bbb3feed0a31cda8df,,
mvtec,bottle,train,0,good,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/002.png,541084,7de0414f1744aaf5cec488928ee3b761509e4bad4f607dc4f6d41ad7862dab69,,
mvtec,bottle,train,0,good,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/003.png,537156,83a8754d0215c4512cdba27caa15d478f21e4314ac85efa639d4d31d1a82122d,,
mvtec,bottle,train,0,good,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/004.png,533766,e322ab1ce2714be77610b25209d5ce91df9ef3f434403cf3dc5041f469d2ade3,,
mvtec,bottle,train,0,good,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/005.png,531868,ce025f228af389707430c4ff417bb0a4ccf4324b9cef4f60e4ad87ed75c735b6,,
mvtec,bottle,train,0,good,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/006.png,538972,037acb142ec7494e749da9a46de367df92df345ea3c9c4d0e0e5fe24f8b93461,,
mvtec,bottle,train,0,good,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/007.png,533913,070d4cbe696071aabc660f9362273d79f0cf36b2b60084f6d545902fa455c254,,
mvtec,bottle,train,0,good,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/008.png,538951,fbdca6b40932e967780ba859bb752eeed1996e874581c47d29da7d23f33048be,,
mvtec,bottle,train,0,good,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/009.png,535636,935dd12766cf96bbdeb48ba5801a896cbd7047212f601077d1adef0db9a6ae57,,
mvtec,bottle,train,0,good,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/010.png,535144,ad500d6c2c625ecc17f8b276a597f76ce5cabfece6326fd39682b5d6b9192db0,,
mvtec,bottle,train,0,good,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/011.png,531568,8493f6eb590418997ff950e1a2cfbe5f31ebbf49a8d075b838a98abfe851ae26,,
mvtec,bottle,train,0,good,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/012.png,541518,0c45f021e169dc8b27120c4c70ea09c0a4e3391482ed4dda4a04baf7b2098b85,,
