dataset,category,split,label,defect_type,image_path,image_bytes,image_sha256,mask_path,mask_sha256
visa,candle,test,0,good,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0011.JPG,119611,26da76bd9dbc5212bb4ae59a394aeb51a624ee42a67a318671fe02cdcb52443f,,
visa,candle,test,0,good,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0013.JPG,116564,3a94c3ff1a279dc3915aeba8a4a94a6831b6738a1107b4a579e6bcd9e417e512,,
visa,candle,test,0,good,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0016.JPG,109344,96e15a3889e079d6a63a30930eb3da385f93a403bd981a8ed9b676eadfc49a75,,
visa,candle,test,0,good,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0024.JPG,112046,5afd75bb65a109e66f6c7eeaa3d1bb4f4bbe017a8f232f3b46a148e8872a7c2a,,
visa,candle,test,0,good,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0026.JPG,120191,8e5a2c91be6e799f725b5c2e23a1d087ae0de3040d8a58295899c4764b55615b,,
visa,candle,test,0,good,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0027.JPG,109417,67552f1f17c5cd4d5a2003cdae310b4bb5f620da0bcef96782d3359701873d79,,
visa,candle,test,0,good,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0046.JPG,116059,ec5406d028a89477cd43fc776e42ebd609eb3521969a459889c601465ff3f97b,,
visa,candle,test,0,good,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0100.JPG,118824,2eacd4b6397fe6a874c0f599aa69d941a6d3e21f055c772c81c352c5d11bfa76,,
visa,candle,test,0,good,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0107.JPG,116379,d1b05beddcbaf7db4ae4e5e5dedca817bd822de02572d88852f437675f966f41,,
visa,candle,test,0,good,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0159.JPG,115915,64e5ab24e30e0c4c4aa6e4990ae466bcbc4cc6a4f21bcc73fa72eccf1f041e26,,
