dataset,class,k_shot,seed,support_index,image_path
mpdd,bracket_black,1,0,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mpdd_raw/MPDD/bracket_black/train/good/090.png
mpdd,bracket_black,1,1,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mpdd_raw/MPDD/bracket_black/train/good/005.png
mpdd,bracket_black,1,2,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mpdd_raw/MPDD/bracket_black/train/good/026.png
mpdd,bracket_black,1,3,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mpdd_raw/MPDD/bracket_black/train/good/091.png
mpdd,bracket_black,1,4,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mpdd_raw/MPDD/bracket_black/train/good/091.png
mpdd,bracket_black,2,0,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mpdd_raw/MPDD/bracket_black/train/good/090.png
mpdd,bracket_black,2,0,1,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mpdd_raw/MPDD/bracket_black/train/good/159.png
mpdd,bracket_black,2,1,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mpdd_raw/MPDD/bracket_black/train/good/005.png
mpdd,bracket_black,2,1,1,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mpdd_raw/MPDD/bracket_black/train/good/120.png
mpdd,bracket_black,2,2,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mpdd_raw/MPDD/bracket_black/train/good/026.png
mpdd,bracket_black,2,2,1,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mpdd_raw/MPDD/bracket_black/train/good/172.png
mpdd,bracket_black,2,3,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mpdd_raw/MPDD/bracket_black/train/good/091.png
mpdd,bracket_black,2,3,1,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mpdd_raw/MPDD/bracket_black/train/good/278.png
mpdd,bracket_black,2,4,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mpdd_raw/MPDD/bracket_black/train/good/091.png
mpdd,bracket_black,2,4,1,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mpdd_raw/MPDD/bracket_black/train/good/126.png
mpdd,bracket_black,4,0,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mpdd_raw/MPDD/bracket_black/train/good/063.png
mpdd,bracket_black,4,0,1,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mpdd_raw/MPDD/bracket_black/train/good/090.png
mpdd,bracket_black,4,0,2,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mpdd_raw/MPDD/bracket_black/train/good/103.png
