dataset,class,k_shot,seed,support_index,image_path
mvtec,bottle,1,0,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/006.png
mvtec,bottle,1,1,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/063.png
mvtec,bottle,1,2,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/126.png
mvtec,bottle,1,3,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/087.png
mvtec,bottle,1,4,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/023.png
mvtec,bottle,2,0,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/006.png
mvtec,bottle,2,0,1,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/025.png
mvtec,bottle,2,1,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/007.png
mvtec,bottle,2,1,1,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/063.png
mvtec,bottle,2,2,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/011.png
mvtec,bottle,2,2,1,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/126.png
mvtec,bottle,2,3,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/087.png
mvtec,bottle,2,3,1,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/108.png
mvtec,bottle,2,4,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/023.png
mvtec,bottle,2,4,1,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/024.png
mvtec,bottle,4,0,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/006.png
mvtec,bottle,4,0,1,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/025.png
mvtec,bottle,4,0,2,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/041.png
mvtec,bottle,4,0,3,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/178.png
mvtec,bottle,4,1,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/001.png
mvtec,bottle,4,1,1,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/005.png
mvtec,bottle,4,1,2,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/007.png
mvtec,bottle,4,1,3,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/063.png
mvtec,bottle,4,2,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/mvtec/bottle/train/good/011.png
