dataset,class,k_shot,seed,support_index,image_path
visa,candle,1,0,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0634.JPG
visa,candle,1,1,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0889.JPG
visa,candle,1,2,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0477.JPG
visa,candle,1,3,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0854.JPG
visa,candle,1,4,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0380.JPG
visa,candle,2,0,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0634.JPG
visa,candle,2,0,1,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0791.JPG
visa,candle,2,1,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0291.JPG
visa,candle,2,1,1,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0889.JPG
visa,candle,2,2,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0429.JPG
visa,candle,2,2,1,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0477.JPG
visa,candle,2,3,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0440.JPG
visa,candle,2,3,1,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0854.JPG
visa,candle,2,4,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0380.JPG
visa,candle,2,4,1,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0765.JPG
visa,candle,4,0,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0634.JPG
visa,candle,4,0,1,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0791.JPG
visa,candle,4,0,2,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0855.JPG
visa,candle,4,0,3,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0885.JPG
visa,candle,4,1,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0163.JPG
visa,candle,4,1,1,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0291.JPG
visa,candle,4,1,2,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0822.JPG
visa,candle,4,1,3,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0889.JPG
visa,candle,4,2,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0243.JPG
visa,candle,4,2,1,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0429.JPG
visa,candle,4,2,2,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0477.JPG
visa,candle,4,2,3,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0982.JPG
visa,candle,4,3,0,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0112.JPG
visa,candle,4,3,1,/home/crl/MoME/other/AD/tmp/ad-neurocomputing/extracted/visa_raw/candle/Data/Images/Normal/0440.JPG
