dataset,source_dataset,target_class,k_shot,seed,corruption,source_corruption,source_mode,normalization_mode,source_class_limit,source_images_per_class_limit,n_source_classes,partition_allocation,method,unit,alpha,delta,selected_threshold,false_alarm_rate,power,alarm_precision,auroc,ap,n_reference_images,n_proposal_images,n_certification_images,n_source_pool_images,target_pvalue_seconds_per_image,pooled_pvalue_seconds_per_image,threshold_certification_seconds,certificate_delta,certificate_bound_method,n_target_support_scores
mpdd,mvtec,bracket_black,1,0,blur,blur,matched_condition,median_mad,,,15,0.5/0.25/0.25,nested_sc3r,image,0.05,0.05,0.0,0.0,0.0,,0.6419547872340425,0.6950262978651864,205,125,137,467,5.326457793199564e-07,6.999242815035808e-07,0.0010761239973362535,0.008333333333333333,clopper_pearson,
mpdd,mvtec,bracket_black,1,0,blur,blur,matched_condition,median_mad,,,15,0.5/0.25/0.25,pooled_source_conformal,image,0.05,,0.05,0.3125,0.425531914893617,0.6666666666666666,0.6436170212765957,0.701691537387569,205,125,137,467,5.326457793199564e-07,6.999242815035808e-07,0.0,0.008333333333333333,not_applicable,
mpdd,mvtec,bracket_black,1,0,blur,blur,matched_condition,median_mad,,,15,0.5/0.25/0.25,target_only,image,0.05,,0.05,0.0,0.0,,0.5,0.5949367088607594,205,125,137,467,5.326457793199564e-07,6.999242815035808e-07,0.0,0.008333333333333333,not_applicable,1.0
mpdd,mvtec,bracket_black,1,0,blur,blur,matched_condition,median_mad,,,15,0.5/0.25/0.25,nested_sc3r,class,0.05,0.05,0.0,0.0,0.0,,0.6419547872340425,0.6950262978651864,205,125,137,467,5.326457793199564e-07,6.999242815035808e-07,0.0010483810037840158,0.008333333333333333,hoeffding,
mpdd,mvtec,bracket_black,1,0,blur,blur,matched_condition,median_mad,,,15,0.5/0.25/0.25,pooled_source_conformal,class,0.05,,0.05,0.3125,0.425531914893617,0.6666666666666666,0.6436170212765957,0.701691537387569,205,125,137,467,5.326457793199564e-07,6.999242815035808e-07,0.0,0.008333333333333333,not_applicable,
mpdd,mvtec,bracket_black,1,0,blur,blur,matched_condition,median_mad,,,15,0.5/0.25/0.25,target_only,class,0.05,,0.05,0.0,0.0,,0.5,0.5949367088607594,205,125,137,467,5.326457793199564e-07,6.999242815035808e-07,0.0,0.008333333333333333,not_applicable,1.0
mpdd,mvtec,bracket_black,1,0,blur,blur,matched_condition,median_mad,,,15,0.5/0.25/0.25,nested_sc3r,image,0.1,0.05,0.0,0.0,0.0,,0.6419547872340425,0.6950262978651864,205,125,137,467,5.326457793199564e-07,6.999242815035808e-07,0.00090977200306952,0.008333333333333333,clopper_pearson,
mpdd,mvtec,bracket_black,1,0,blur,blur,matched_condition,median_mad,,,15,0.5/0.25/0.25,pooled_source_conformal,image,0.1,,0.1,0.5,0.6595744680851063,0.6595744680851063,0.6436170212765957,0.701691537387569,205,125,137,467,5.326457793199564e-07,6.999242815035808e-07,0.0,0.008333333333333333,not_applicable,
mpdd,mvtec,bracket_black,1,0,blur,blur,matched_condition,median_mad,,,15,0.5/0.25/0.25,target_only,image,0.1,,0.1,0.0,0.0,,0.5,0.5949367088607594,205,125,137,467,5.326457793199564e-07,6.999242815035808e-07,0.0,0.008333333333333333,not_applicable,1.0
mpdd,mvtec,bracket_black,1,0,blur,blur,matched_condition,median_mad,,,15,0.5/0.25/0.25,nested_sc3r,class,0.1,0.05,0.0,0.0,0.0,,0.6419547872340425,0.6950262978651864,205,125,137,467,5.326457793199564e-07,6.999242815035808e-07,0.001009208004688844,0.008333333333333333,hoeffding,
mpdd,mvtec,bracket_black,1,0,blur,blur,matched_condition,median_mad,,,15,0.5/0.25/0.25,pooled_source_conformal,class,0.1,,0.1,0.5,0.6595744680851063,0.6595744680851063,0.6436170212765957,0.701691537387569,205,125,137,467,5.326457793199564e-07,6.999242815035808e-07,0.0,0.008333333333333333,not_applicable,
mpdd,mvtec,bracket_black,1,0,blur,blur,matched_condition,median_mad,,,15,0.5/0.25/0.25,target_only,class,0.1,,0.1,0.0,0.0,,0.5,0.5949367088607594,205,125,137,467,5.326457793199564e-07,6.999242815035808e-07,0.0,0.008333333333333333,not_applicable,1.0
mpdd,mvtec,bracket_black,1,0,blur,blur,matched_condition,median_mad,,,15,0.5/0.25/0.25,nested_sc3r,image,0.2,0.05,0.14077669382095337,0.46875,0.5957446808510638,0.6511627906976745,0.6419547872340425,0.6950262978651864,205,125,137,467,5.326457793199564e-07,6.999242815035808e-07,0.0009261629893444479,0.008333333333333333,clopper_pearson,
mpdd,mvtec,bracket_black,1,0,blur,blur,matched_condition,median_mad,,,15,0.5/0.25/0.25,pooled_source_conformal,image,0.2,,0.2,0.5625,0.7872340425531915,0.6727272727272727,0.6436170212765957,0.701691537387569,205,125,137,467,5.326457793199564e-07,6.999242815035808e-07,0.0,0.008333333333333333,not_applicable,
mpdd,mvtec,bracket_black,1,0,blur,blur,matched_condition,median_mad,,,15,0.5/0.25/0.25,target_only,image,0.2,,0.2,0.0,0.0,,0.5,0.5949367088607594,205,125,137,467,5.326457793199564e-07,6.999242815035808e-07,0.0,0.008333333333333333,not_applicable,1.0
mpdd,mvtec,bracket_black,1,0,blur,blur,matched_condition,median_mad,,,15,0.5/0.25/0.25,nested_sc3r,class,0.2,0.05,0.0,0.0,0.0,,0.6419547872340425,0.6950262978651864,205,125,137,467,5.326457793199564e-07,6.999242815035808e-07,0.0010250589984934777,0.008333333333333333,hoeffding,
