dataset,k_shot,corruption,pvalue_col,nominal_cdf,empirical_cdf,gap
visa,4,blur,image_p_loio,0.2,0.18705882352941178,-0.012941176470588234
visa,4,blur,image_p_loio,0.4,0.38088235294117645,-0.019117647058823573
visa,4,blur,image_p_loio,0.6,0.5752941176470588,-0.024705882352941133
visa,4,blur,image_p_loio,0.8,0.7920588235294118,-0.00794117647058823
visa,4,blur,image_p_loio,1.0,1.0,0.0
visa,4,brightness_contrast,image_p_loio,0.2,0.18911764705882353,-0.010882352941176482
visa,4,brightness_contrast,image_p_loio,0.4,0.3982352941176471,-0.001764705882352946
visa,4,brightness_contrast,image_p_loio,0.6,0.5908823529411765,-0.009117647058823453
visa,4,brightness_contrast,image_p_loio,0.8,0.8070588235294117,0.007058823529411673
visa,4,brightness_contrast,image_p_loio,1.0,1.0,0.0
visa,4,clean,image_p_loio,0.2,0.1814705882352941,-0.018529411764705905
visa,4,clean,image_p_loio,0.4,0.3826470588235294,-0.017352941176470627
visa,4,clean,image_p_loio,0.6,0.5702941176470588,-0.029705882352941138
visa,4,clean,image_p_loio,0.8,0.7902941176470588,-0.00970588235294123
visa,4,clean,image_p_loio,1.0,1.0,0.0
visa,4,gaussian_noise,image_p_loio,0.2,0.16941176470588235,-0.030588235294117666
visa,4,gaussian_noise,image_p_loio,0.4,0.37,-0.030000000000000027
visa,4,gaussian_noise,image_p_loio,0.6,0.5838235294117647,-0.016176470588235237
visa,4,gaussian_noise,image_p_loio,0.8,0.8079411764705883,0.00794117647058823
visa,4,gaussian_noise,image_p_loio,1.0,1.0,0.0
visa,4,jpeg,image_p_loio,0.2,0.19176470588235295,-0.008235294117647063
visa,4,jpeg,image_p_loio,0.4,0.4026470588235294,0.0026470588235293913
visa,4,jpeg,image_p_loio,0.6,0.6041176470588235,0.004117647058823559
visa,4,jpeg,image_p_loio,0.8,0.8097058823529412,0.00970588235294112
visa,4,jpeg,image_p_loio,1.0,1.0,0.0
visa,8,blur,image_p_loio,0.1111111111111111,0.10705882352941176,-0.004052287581699343
visa,8,blur,image_p_loio,0.2222222222222222,0.225,0.0027777777777777957
visa,8,blur,image_p_loio,0.3333333333333333,0.3417647058823529,0.0084313725490196
visa,8,blur,image_p_loio,0.4444444444444444,0.47441176470588237,0.029967320261437946
visa,8,blur,image_p_loio,0.5555555555555556,0.585,0.029444444444444384
visa,8,blur,image_p_loio,0.6666666666666666,0.7058823529411765,0.03921568627450989
visa,8,blur,image_p_loio,0.7777777777777778,0.8138235294117647,0.03604575163398693
visa,8,blur,image_p_loio,0.8888888888888888,0.9179411764705883,0.02905228758169942
visa,8,blur,image_p_loio,1.0,1.0,0.0
visa,8,brightness_contrast,image_p_loio,0.1111111111111111,0.10676470588235294,-0.004346405228758163
visa,8,brightness_contrast,image_p_loio,0.2222222222222222,0.23323529411764707,0.011013071895424859
visa,8,brightness_contrast,image_p_loio,0.3333333333333333,0.35,0.016666666666666663
visa,8,brightness_contrast,image_p_loio,0.4444444444444444,0.4844117647058824,0.039967320261437955
visa,8,brightness_contrast,image_p_loio,0.5555555555555556,0.5994117647058823,0.04385620915032673
visa,8,brightness_contrast,image_p_loio,0.6666666666666666,0.7247058823529412,0.05803921568627457
visa,8,brightness_contrast,image_p_loio,0.7777777777777778,0.8314705882352941,0.05369281045751628
visa,8,brightness_contrast,image_p_loio,0.8888888888888888,0.9305882352941176,0.041699346405228765
visa,8,brightness_contrast,image_p_loio,1.0,1.0,0.0
visa,8,clean,image_p_loio,0.1111111111111111,0.10294117647058823,-0.008169934640522875
visa,8,clean,image_p_loio,0.2222222222222222,0.2238235294117647,0.001601307189542489
visa,8,clean,image_p_loio,0.3333333333333333,0.34088235294117647,0.007549019607843155
visa,8,clean,image_p_loio,0.4444444444444444,0.47147058823529414,0.02702614379084972
