dataset,k_shot,corruption,pvalue_col,n_normal,n_clusters,ks_discrete,mc_pvalue,worst_grid_point,worst_empirical_cdf,direction
visa,4,blur,image_p_loio,3400,60,0.024705882352941133,0.6786606696651675,0.6,0.5752941176470588,conservative
visa,4,brightness_contrast,image_p_loio,3400,60,0.010882352941176482,0.9790104947526237,0.2,0.18911764705882353,conservative
visa,4,clean,image_p_loio,3400,60,0.029705882352941138,0.5537231384307846,0.6,0.5702941176470588,conservative
visa,4,gaussian_noise,image_p_loio,3400,60,0.030588235294117666,0.5312343828085957,0.2,0.16941176470588235,conservative
visa,4,jpeg,image_p_loio,3400,60,0.00970588235294112,0.9850074962518741,0.8,0.8097058823529412,anti-conservative
visa,8,blur,image_p_loio,3400,60,0.03921568627450989,0.18240879560219891,0.6666666666666666,0.7058823529411765,anti-conservative
visa,8,brightness_contrast,image_p_loio,3400,60,0.05803921568627457,0.02348825587206397,0.6666666666666666,0.7247058823529412,anti-conservative
visa,8,clean,image_p_loio,3400,60,0.03686274509803922,0.239880059970015,0.6666666666666666,0.7035294117647058,anti-conservative
visa,8,gaussian_noise,image_p_loio,3400,60,0.06745098039215691,0.0069965017491254375,0.6666666666666666,0.7341176470588235,anti-conservative
visa,8,jpeg,image_p_loio,3400,60,0.08127450980392159,0.0009995002498750624,0.6666666666666666,0.7479411764705882,anti-conservative
