dataset,class,k_shot,seed,support_calibration_mode,residual_index,loio_residual
mpdd,bracket_black,1,0,patch_split_conformal,0,12.197783470153809
mpdd,bracket_black,1,1,patch_split_conformal,0,14.201692581176758
mpdd,bracket_black,1,2,patch_split_conformal,0,13.25322437286377
mpdd,bracket_black,1,3,patch_split_conformal,0,13.47709846496582
mpdd,bracket_black,1,4,patch_split_conformal,0,13.47709846496582
mpdd,bracket_black,2,0,loio_conformal,0,34.32803726196289
mpdd,bracket_black,2,0,loio_conformal,1,31.97220230102539
mpdd,bracket_black,2,1,loio_conformal,0,24.308191299438477
mpdd,bracket_black,2,1,loio_conformal,1,29.00433921813965
mpdd,bracket_black,2,2,loio_conformal,0,27.350786209106445
mpdd,bracket_black,2,2,loio_conformal,1,29.69711685180664
mpdd,bracket_black,2,3,loio_conformal,0,25.450756072998047
mpdd,bracket_black,2,3,loio_conformal,1,28.266313552856445
mpdd,bracket_black,2,4,loio_conformal,0,24.742467880249023
mpdd,bracket_black,2,4,loio_conformal,1,18.883045196533203
mpdd,bracket_black,4,0,loio_conformal,0,22.954837799072266
mpdd,bracket_black,4,0,loio_conformal,1,21.988872528076172
mpdd,bracket_black,4,0,loio_conformal,2,23.241525650024414
mpdd,bracket_black,4,0,loio_conformal,3,21.198640823364258
mpdd,bracket_black,4,1,loio_conformal,0,23.88479232788086
mpdd,bracket_black,4,1,loio_conformal,1,17.688615798950195
mpdd,bracket_black,4,1,loio_conformal,2,28.437559127807617
mpdd,bracket_black,4,1,loio_conformal,3,22.252105712890625
mpdd,bracket_black,4,2,loio_conformal,0,25.91920280456543
mpdd,bracket_black,4,2,loio_conformal,1,20.224607467651367
mpdd,bracket_black,4,2,loio_conformal,2,24.846220016479492
mpdd,bracket_black,4,2,loio_conformal,3,19.662607192993164
mpdd,bracket_black,4,3,loio_conformal,0,18.650075912475586
mpdd,bracket_black,4,3,loio_conformal,1,21.254472732543945
mpdd,bracket_black,4,3,loio_conformal,2,22.723726272583008
mpdd,bracket_black,4,3,loio_conformal,3,20.363996505737305
mpdd,bracket_black,4,4,loio_conformal,0,21.760066986083984
mpdd,bracket_black,4,4,loio_conformal,1,18.015398025512695
mpdd,bracket_black,4,4,loio_conformal,2,18.913515090942383
mpdd,bracket_black,4,4,loio_conformal,3,33.62844467163086
mpdd,bracket_black,8,0,loio_conformal,0,21.59408950805664
mpdd,bracket_black,8,0,loio_conformal,1,20.306827545166016
mpdd,bracket_black,8,0,loio_conformal,2,20.35344123840332
mpdd,bracket_black,8,0,loio_conformal,3,19.636775970458984
mpdd,bracket_black,8,0,loio_conformal,4,20.628080368041992
mpdd,bracket_black,8,0,loio_conformal,5,18.866544723510742
mpdd,bracket_black,8,0,loio_conformal,6,20.36351203918457
mpdd,bracket_black,8,0,loio_conformal,7,19.73430824279785
mpdd,bracket_black,8,1,loio_conformal,0,19.615381240844727
mpdd,bracket_black,8,1,loio_conformal,1,22.17691421508789
mpdd,bracket_black,8,1,loio_conformal,2,16.880319595336914
mpdd,bracket_black,8,1,loio_conformal,3,20.697978973388672
mpdd,bracket_black,8,1,loio_conformal,4,27.781604766845703
mpdd,bracket_black,8,1,loio_conformal,5,18.624980926513672
mpdd,bracket_black,8,1,loio_conformal,6,18.919031143188477
mpdd,bracket_black,8,1,loio_conformal,7,18.238052368164062
mpdd,bracket_black,8,2,loio_conformal,0,19.788028717041016
mpdd,bracket_black,8,2,loio_conformal,1,21.057117462158203
mpdd,bracket_black,8,2,loio_conformal,2,16.700468063354492
mpdd,bracket_black,8,2,loio_conformal,3,17.772563934326172
mpdd,bracket_black,8,2,loio_conformal,4,22.68604850769043
mpdd,bracket_black,8,2,loio_conformal,5,20.912813186645508
mpdd,bracket_black,8,2,loio_conformal,6,19.441097259521484
mpdd,bracket_black,8,2,loio_conformal,7,17.35666275024414
mpdd,bracket_black,8,3,loio_conformal,0,19.21623420715332
mpdd,bracket_black,8,3,loio_conformal,1,21.060733795166016
mpdd,bracket_black,8,3,loio_conformal,2,20.866390228271484
mpdd,bracket_black,8,3,loio_conformal,3,22.64595603942871
mpdd,bracket_black,8,3,loio_conformal,4,17.794300079345703
mpdd,bracket_black,8,3,loio_conformal,5,21.018096923828125
mpdd,bracket_black,8,3,loio_conformal,6,19.571582794189453
mpdd,bracket_black,8,3,loio_conformal,7,19.564865112304688
mpdd,bracket_black,8,4,loio_conformal,0,19.03268051147461
mpdd,bracket_black,8,4,loio_conformal,1,22.219329833984375
mpdd,bracket_black,8,4,loio_conformal,2,18.682415008544922
mpdd,bracket_black,8,4,loio_conformal,3,18.249053955078125
mpdd,bracket_black,8,4,loio_conformal,4,24.52610969543457
mpdd,bracket_black,8,4,loio_conformal,5,19.540668487548828
mpdd,bracket_black,8,4,loio_conformal,6,21.06334114074707
mpdd,bracket_black,8,4,loio_conformal,7,26.717573165893555
mpdd,bracket_brown,1,0,patch_split_conformal,0,12.923751831054688
mpdd,bracket_brown,1,1,patch_split_conformal,0,13.623953819274902
mpdd,bracket_brown,1,2,patch_split_conformal,0,11.60136604309082
