dataset,class,k_shot,seed,support_calibration_mode,residual_index,loio_residual
mvtec,bottle,1,0,patch_split_conformal,0,9.702653884887695
mvtec,bottle,1,1,patch_split_conformal,0,10.574975967407227
mvtec,bottle,1,2,patch_split_conformal,0,9.782614707946777
mvtec,bottle,1,3,patch_split_conformal,0,10.463171005249023
mvtec,bottle,1,4,patch_split_conformal,0,9.772384643554688
mvtec,bottle,2,0,loio_conformal,0,20.150760650634766
mvtec,bottle,2,0,loio_conformal,1,24.726688385009766
mvtec,bottle,2,1,loio_conformal,0,16.774837493896484
mvtec,bottle,2,1,loio_conformal,1,17.420732498168945
mvtec,bottle,2,2,loio_conformal,0,19.640050888061523
mvtec,bottle,2,2,loio_conformal,1,20.627391815185547
mvtec,bottle,2,3,loio_conformal,0,15.402997016906738
mvtec,bottle,2,3,loio_conformal,1,16.836206436157227
mvtec,bottle,2,4,loio_conformal,0,16.318286895751953
mvtec,bottle,2,4,loio_conformal,1,18.567960739135742
mvtec,bottle,4,0,loio_conformal,0,18.025772094726562
mvtec,bottle,4,0,loio_conformal,1,16.717832565307617
mvtec,bottle,4,0,loio_conformal,2,12.976175308227539
mvtec,bottle,4,0,loio_conformal,3,13.210129737854004
mvtec,bottle,4,1,loio_conformal,0,20.230037689208984
mvtec,bottle,4,1,loio_conformal,1,14.034194946289062
mvtec,bottle,4,1,loio_conformal,2,14.22801399230957
mvtec,bottle,4,1,loio_conformal,3,14.410688400268555
mvtec,bottle,4,2,loio_conformal,0,17.54372787475586
mvtec,bottle,4,2,loio_conformal,1,14.61613941192627
mvtec,bottle,4,2,loio_conformal,2,18.53067970275879
mvtec,bottle,4,2,loio_conformal,3,12.44257640838623
mvtec,bottle,4,3,loio_conformal,0,18.63498306274414
mvtec,bottle,4,3,loio_conformal,1,14.587838172912598
mvtec,bottle,4,3,loio_conformal,2,13.944661140441895
mvtec,bottle,4,3,loio_conformal,3,12.730291366577148
mvtec,bottle,4,4,loio_conformal,0,15.625489234924316
mvtec,bottle,4,4,loio_conformal,1,16.796079635620117
mvtec,bottle,4,4,loio_conformal,2,16.860668182373047
mvtec,bottle,4,4,loio_conformal,3,16.927675247192383
mvtec,bottle,8,0,loio_conformal,0,18.15471076965332
mvtec,bottle,8,0,loio_conformal,1,12.653465270996094
mvtec,bottle,8,0,loio_conformal,2,12.607462882995605
mvtec,bottle,8,0,loio_conformal,3,13.565974235534668
mvtec,bottle,8,0,loio_conformal,4,12.179990768432617
mvtec,bottle,8,0,loio_conformal,5,12.818612098693848
mvtec,bottle,8,0,loio_conformal,6,16.143869400024414
mvtec,bottle,8,0,loio_conformal,7,14.486618041992188
mvtec,bottle,8,1,loio_conformal,0,14.946816444396973
mvtec,bottle,8,1,loio_conformal,1,13.987641334533691
mvtec,bottle,8,1,loio_conformal,2,13.064133644104004
mvtec,bottle,8,1,loio_conformal,3,14.448065757751465
mvtec,bottle,8,1,loio_conformal,4,13.81549072265625
mvtec,bottle,8,1,loio_conformal,5,13.122611999511719
mvtec,bottle,8,1,loio_conformal,6,16.370569229125977
mvtec,bottle,8,1,loio_conformal,7,12.725995063781738
mvtec,bottle,8,2,loio_conformal,0,13.320975303649902
mvtec,bottle,8,2,loio_conformal,1,13.776104927062988
mvtec,bottle,8,2,loio_conformal,2,14.841700553894043
mvtec,bottle,8,2,loio_conformal,3,16.538570404052734
mvtec,bottle,8,2,loio_conformal,4,15.064468383789062
mvtec,bottle,8,2,loio_conformal,5,13.109784126281738
mvtec,bottle,8,2,loio_conformal,6,12.727972984313965
mvtec,bottle,8,2,loio_conformal,7,12.215240478515625
mvtec,bottle,8,3,loio_conformal,0,18.185577392578125
mvtec,bottle,8,3,loio_conformal,1,16.601736068725586
mvtec,bottle,8,3,loio_conformal,2,14.103731155395508
mvtec,bottle,8,3,loio_conformal,3,12.910191535949707
mvtec,bottle,8,3,loio_conformal,4,12.658300399780273
mvtec,bottle,8,3,loio_conformal,5,13.82129955291748
mvtec,bottle,8,3,loio_conformal,6,14.965089797973633
mvtec,bottle,8,3,loio_conformal,7,15.301080703735352
mvtec,bottle,8,4,loio_conformal,0,14.43187427520752
mvtec,bottle,8,4,loio_conformal,1,15.126447677612305
mvtec,bottle,8,4,loio_conformal,2,16.510141372680664
mvtec,bottle,8,4,loio_conformal,3,13.678879737854004
mvtec,bottle,8,4,loio_conformal,4,12.744500160217285
mvtec,bottle,8,4,loio_conformal,5,19.96714973449707
mvtec,bottle,8,4,loio_conformal,6,13.946558952331543
mvtec,bottle,8,4,loio_conformal,7,13.267234802246094
mvtec,cable,1,0,patch_split_conformal,0,14.137604713439941
mvtec,cable,1,1,patch_split_conformal,0,14.159371376037598
mvtec,cable,1,2,patch_split_conformal,0,14.03898811340332
mvtec,cable,1,3,patch_split_conformal,0,12.770081520080566
mvtec,cable,1,4,patch_split_conformal,0,12.994428634643555
mvtec,cable,2,0,loio_conformal,0,23.936098098754883
mvtec,cable,2,0,loio_conformal,1,23.486865997314453
mvtec,cable,2,1,loio_conformal,0,22.400014877319336
mvtec,cable,2,1,loio_conformal,1,29.63987159729004
mvtec,cable,2,2,loio_conformal,0,27.368024826049805
mvtec,cable,2,2,loio_conformal,1,22.35637855529785
mvtec,cable,2,3,loio_conformal,0,26.435182571411133
mvtec,cable,2,3,loio_conformal,1,21.759937286376953
mvtec,cable,2,4,loio_conformal,0,24.743228912353516
mvtec,cable,2,4,loio_conformal,1,23.348825454711914
mvtec,cable,4,0,loio_conformal,0,20.494258880615234
mvtec,cable,4,0,loio_conformal,1,25.160898208618164
mvtec,cable,4,0,loio_conformal,2,21.071916580200195
mvtec,cable,4,0,loio_conformal,3,17.775911331176758
mvtec,cable,4,1,loio_conformal,0,20.627197265625
mvtec,cable,4,1,loio_conformal,1,22.122026443481445
mvtec,cable,4,1,loio_conformal,2,23.90606689453125
mvtec,cable,4,1,loio_conformal,3,19.315670013427734
mvtec,cable,4,2,loio_conformal,0,21.076900482177734
