dataset,class,k_shot,seed,support_calibration_mode,residual_index,loio_residual
visa,candle,1,0,patch_split_conformal,0,13.539084434509277
visa,candle,1,1,patch_split_conformal,0,10.872343063354492
visa,candle,1,2,patch_split_conformal,0,12.184097290039062
visa,candle,1,3,patch_split_conformal,0,13.098502159118652
visa,candle,1,4,patch_split_conformal,0,12.2859525680542
visa,candle,2,0,loio_conformal,0,16.738554000854492
visa,candle,2,0,loio_conformal,1,18.339176177978516
visa,candle,2,1,loio_conformal,0,18.677263259887695
visa,candle,2,1,loio_conformal,1,18.649221420288086
visa,candle,2,2,loio_conformal,0,22.57023048400879
visa,candle,2,2,loio_conformal,1,15.517797470092773
visa,candle,2,3,loio_conformal,0,20.299211502075195
visa,candle,2,3,loio_conformal,1,18.73000717163086
visa,candle,2,4,loio_conformal,0,19.612226486206055
visa,candle,2,4,loio_conformal,1,21.110990524291992
visa,candle,4,0,loio_conformal,0,14.778077125549316
visa,candle,4,0,loio_conformal,1,14.786392211914062
visa,candle,4,0,loio_conformal,2,19.89034080505371
visa,candle,4,0,loio_conformal,3,13.940997123718262
visa,candle,4,1,loio_conformal,0,17.350582122802734
visa,candle,4,1,loio_conformal,1,16.238332748413086
visa,candle,4,1,loio_conformal,2,13.710219383239746
visa,candle,4,1,loio_conformal,3,15.77473258972168
visa,candle,4,2,loio_conformal,0,16.164031982421875
visa,candle,4,2,loio_conformal,1,20.48697280883789
visa,candle,4,2,loio_conformal,2,15.851362228393555
visa,candle,4,2,loio_conformal,3,15.18118953704834
visa,candle,4,3,loio_conformal,0,17.889739990234375
visa,candle,4,3,loio_conformal,1,16.03627586364746
visa,candle,4,3,loio_conformal,2,14.09270191192627
visa,candle,4,3,loio_conformal,3,14.345025062561035
visa,candle,4,4,loio_conformal,0,17.89164924621582
visa,candle,4,4,loio_conformal,1,14.061383247375488
visa,candle,4,4,loio_conformal,2,17.87415885925293
visa,candle,4,4,loio_conformal,3,16.580739974975586
visa,candle,8,0,loio_conformal,0,12.684199333190918
visa,candle,8,0,loio_conformal,1,14.384559631347656
visa,candle,8,0,loio_conformal,2,17.615264892578125
visa,candle,8,0,loio_conformal,3,15.01398754119873
visa,candle,8,0,loio_conformal,4,14.421674728393555
visa,candle,8,0,loio_conformal,5,19.501455307006836
visa,candle,8,0,loio_conformal,6,13.931694984436035
visa,candle,8,0,loio_conformal,7,14.675324440002441
visa,candle,8,1,loio_conformal,0,16.888629913330078
visa,candle,8,1,loio_conformal,1,17.02271842956543
visa,candle,8,1,loio_conformal,2,16.277164459228516
visa,candle,8,1,loio_conformal,3,16.002878189086914
visa,candle,8,1,loio_conformal,4,13.19415283203125
visa,candle,8,1,loio_conformal,5,15.836878776550293
visa,candle,8,1,loio_conformal,6,14.973526954650879
visa,candle,8,1,loio_conformal,7,13.828134536743164
visa,candle,8,2,loio_conformal,0,12.56721019744873
visa,candle,8,2,loio_conformal,1,16.230030059814453
visa,candle,8,2,loio_conformal,2,19.88326072692871
visa,candle,8,2,loio_conformal,3,14.831931114196777
visa,candle,8,2,loio_conformal,4,17.692142486572266
visa,candle,8,2,loio_conformal,5,13.61322021484375
visa,candle,8,2,loio_conformal,6,13.082684516906738
visa,candle,8,2,loio_conformal,7,14.598624229431152
visa,candle,8,3,loio_conformal,0,16.361492156982422
visa,candle,8,3,loio_conformal,1,15.521782875061035
visa,candle,8,3,loio_conformal,2,14.903700828552246
visa,candle,8,3,loio_conformal,3,15.516464233398438
visa,candle,8,3,loio_conformal,4,17.063358306884766
visa,candle,8,3,loio_conformal,5,15.201569557189941
visa,candle,8,3,loio_conformal,6,13.487382888793945
visa,candle,8,3,loio_conformal,7,14.238698959350586
visa,candle,8,4,loio_conformal,0,14.840265274047852
visa,candle,8,4,loio_conformal,1,15.337027549743652
visa,candle,8,4,loio_conformal,2,17.39088249206543
visa,candle,8,4,loio_conformal,3,13.490687370300293
visa,candle,8,4,loio_conformal,4,13.771981239318848
visa,candle,8,4,loio_conformal,5,17.31903076171875
visa,candle,8,4,loio_conformal,6,12.581672668457031
visa,candle,8,4,loio_conformal,7,16.0782413482666
visa,capsules,1,0,patch_split_conformal,0,13.427873611450195
visa,capsules,1,1,patch_split_conformal,0,12.807280540466309
visa,capsules,1,2,patch_split_conformal,0,12.235518455505371
visa,capsules,1,3,patch_split_conformal,0,10.667563438415527
visa,capsules,1,4,patch_split_conformal,0,10.481513977050781
visa,capsules,2,0,loio_conformal,0,16.184371948242188
visa,capsules,2,0,loio_conformal,1,14.002080917358398
visa,capsules,2,1,loio_conformal,0,15.076898574829102
visa,capsules,2,1,loio_conformal,1,20.70319175720215
visa,capsules,2,2,loio_conformal,0,14.6607666015625
visa,capsules,2,2,loio_conformal,1,17.572114944458008
visa,capsules,2,3,loio_conformal,0,15.082146644592285
visa,capsules,2,3,loio_conformal,1,20.46233558654785
visa,capsules,2,4,loio_conformal,0,21.890499114990234
visa,capsules,2,4,loio_conformal,1,23.762752532958984
visa,capsules,4,0,loio_conformal,0,16.236696243286133
visa,capsules,4,0,loio_conformal,1,13.853300094604492
visa,capsules,4,0,loio_conformal,2,12.25920581817627
visa,capsules,4,0,loio_conformal,3,11.995976448059082
visa,capsules,4,1,loio_conformal,0,18.481475830078125
visa,capsules,4,1,loio_conformal,1,12.73715877532959
visa,capsules,4,1,loio_conformal,2,13.509269714355469
visa,capsules,4,1,loio_conformal,3,18.42125129699707
visa,capsules,4,2,loio_conformal,0,25.001943588256836
visa,capsules,4,2,loio_conformal,1,15.682600021362305
visa,capsules,4,2,loio_conformal,2,13.18770694732666
visa,capsules,4,2,loio_conformal,3,14.211430549621582
visa,capsules,4,3,loio_conformal,0,20.567394256591797
visa,capsules,4,3,loio_conformal,1,14.520167350769043
visa,capsules,4,3,loio_conformal,2,18.86795425415039
visa,capsules,4,3,loio_conformal,3,11.666106224060059
visa,capsules,4,4,loio_conformal,0,15.485346794128418
