dataset,class,k_shot,seed,support_calibration_mode,support_cal_median,support_cal_mad,support_cal_q25,support_cal_q75,support_cal_mean,support_cal_std,support_cal_count
mvtec,bottle,1,0,patch_split_conformal,9.702653884887695,0.0,9.702653884887695,9.702653884887695,9.702653884887695,0.0,1
mvtec,bottle,1,1,patch_split_conformal,10.574975967407227,0.0,10.574975967407227,10.574975967407227,10.574975967407227,0.0,1
mvtec,bottle,1,2,patch_split_conformal,9.782614707946777,0.0,9.782614707946777,9.782614707946777,9.782614707946777,0.0,1
mvtec,bottle,1,3,patch_split_conformal,10.463171005249023,0.0,10.463171005249023,10.463171005249023,10.463171005249023,0.0,1
mvtec,bottle,1,4,patch_split_conformal,9.772384643554688,0.0,9.772384643554688,9.772384643554688,9.772384643554688,0.0,1
mvtec,bottle,2,0,loio_conformal,22.438724517822266,2.2879638671875,21.294742584228516,23.582706451416016,22.438724517822266,2.2879638671875,2
mvtec,bottle,2,1,loio_conformal,17.097784996032715,0.32294750213623047,16.9363112449646,17.25925874710083,17.097784996032715,0.32294750213623047,2
mvtec,bottle,2,2,loio_conformal,20.133721351623535,0.4936704635620117,19.88688611984253,20.38055658340454,20.133721351623535,0.4936704635620117,2
mvtec,bottle,2,3,loio_conformal,16.119601726531982,0.7166047096252441,15.76129937171936,16.477904081344604,16.119601726531982,0.7166047096252441,2
mvtec,bottle,2,4,loio_conformal,17.443123817443848,1.1248369216918945,16.8807053565979,18.005542278289795,17.443123817443848,1.1248369216918945,2
mvtec,bottle,4,0,loio_conformal,14.96398115158081,1.870828628540039,13.151641130447388,17.044817447662354,15.23247742652893,2.1902947526884216,4
mvtec,bottle,4,1,loio_conformal,14.319351196289062,0.1882467269897461,14.179559230804443,15.865525722503662,15.725733757019043,2.603966505432625,4
mvtec,bottle,4,2,loio_conformal,16.079933643341064,1.9572701454162598,14.07274866104126,17.790465831756592,15.783280849456787,2.4067560888984394,4
mvtec,bottle,4,3,loio_conformal,14.266249656677246,0.9287734031677246,13.641068696975708,15.599624395370483,14.974443435668945,2.216172605831437,4
mvtec,bottle,4,4,loio_conformal,16.828373908996582,0.06579780578613281,16.503432035446167,16.87741994857788,16.552478075027466,0.5372159924707167,4
