dataset,class,k_shot,seed,corruption,source_mode,source_dataset,method,alpha,selected_p_threshold,source_validation_far,source_validation_count,false_alarm_rate,power,alarm_precision,coverage_gap,auroc,ap
mvtec,bottle,1,0,blur,matched_condition,mvtec,source_validated_pool,0.05,0.046620046620046623,0.049217002237136466,447,0.0,0.36507936507936506,1.0,-0.05,0.8583333333333333,0.9495427124850466
mvtec,bottle,1,0,blur,matched_condition,mvtec,source_validated_pool,0.1,0.08845208845208845,0.09843400447427293,447,0.1,0.5873015873015873,0.9487179487179487,0.0,0.8583333333333333,0.9495427124850466
mvtec,bottle,1,0,blur,matched_condition,mvtec,source_validated_pool,0.2,0.17936117936117937,0.19686800894854586,447,0.35,0.8253968253968254,0.8813559322033898,0.14999999999999997,0.8583333333333333,0.9495427124850466
mvtec,bottle,1,0,brightness_contrast,matched_condition,mvtec,source_validated_pool,0.05,0.046620046620046623,0.049217002237136466,447,0.05,0.3968253968253968,0.9615384615384616,0.0,0.8543650793650794,0.9494062059102273
mvtec,bottle,1,0,brightness_contrast,matched_condition,mvtec,source_validated_pool,0.1,0.08823529411764706,0.09843400447427293,447,0.1,0.6031746031746031,0.95,0.0,0.8543650793650794,0.9494062059102273
mvtec,bottle,1,0,brightness_contrast,matched_condition,mvtec,source_validated_pool,0.2,0.18588235294117647,0.19910514541387025,447,0.5,0.873015873015873,0.8461538461538461,0.3,0.8543650793650794,0.9494062059102273
mvtec,bottle,1,0,clean,matched_condition,mvtec,source_validated_pool,0.05,0.04428904428904429,0.049217002237136466,447,0.05,0.4126984126984127,0.9629629629629629,0.0,0.85,0.9470199417277516
mvtec,bottle,1,0,clean,matched_condition,mvtec,source_validated_pool,0.1,0.0871559633027523,0.09843400447427293,447,0.1,0.6349206349206349,0.9523809523809523,0.0,0.85,0.9470199417277516
mvtec,bottle,1,0,clean,matched_condition,mvtec,source_validated_pool,0.2,0.17936117936117937,0.19910514541387025,447,0.5,0.8571428571428571,0.84375,0.3,0.85,0.9470199417277516
mvtec,bottle,1,0,gaussian_noise,matched_condition,mvtec,source_validated_pool,0.05,0.0,0.0,447,0.0,0.0,,-0.05,0.498015873015873,0.7832410038752308
mvtec,bottle,1,0,gaussian_noise,matched_condition,mvtec,source_validated_pool,0.1,0.07728337236533958,0.09843400447427293,447,0.0,0.031746031746031744,1.0,-0.1,0.498015873015873,0.7832410038752308
mvtec,bottle,1,0,gaussian_noise,matched_condition,mvtec,source_validated_pool,0.2,0.20098039215686275,0.19910514541387025,447,1.0,1.0,0.7590361445783133,0.8,0.498015873015873,0.7832410038752308
mvtec,bottle,1,0,jpeg,matched_condition,mvtec,source_validated_pool,0.05,0.04807692307692308,0.049217002237136466,447,1.0,0.8888888888888888,0.7368421052631579,0.95,0.5880952380952381,0.8317992782387698
mvtec,bottle,1,0,jpeg,matched_condition,mvtec,source_validated_pool,0.1,0.0892018779342723,0.09843400447427293,447,1.0,0.9682539682539683,0.7530864197530864,0.9,0.5880952380952381,0.8317992782387698
mvtec,bottle,1,0,jpeg,matched_condition,mvtec,source_validated_pool,0.2,0.19718309859154928,0.19910514541387025,447,1.0,1.0,0.7590361445783133,0.8,0.5880952380952381,0.8317992782387698
mvtec,bottle,1,1,blur,matched_condition,mvtec,source_validated_pool,0.05,0.04449648711943794,0.049217002237136466,447,0.0,0.3333333333333333,1.0,-0.05,0.9547619047619048,0.9854229634038216
mvtec,bottle,1,1,blur,matched_condition,mvtec,source_validated_pool,0.1,0.08845208845208845,0.09843400447427293,447,0.0,0.4603174603174603,1.0,-0.1,0.9547619047619048,0.9854229634038216
mvtec,bottle,1,1,blur,matched_condition,mvtec,source_validated_pool,0.2,0.18823529411764706,0.19910514541387025,447,0.0,0.6825396825396826,1.0,-0.2,0.9547619047619048,0.9854229634038216
mvtec,bottle,1,1,brightness_contrast,matched_condition,mvtec,source_validated_pool,0.05,0.04668304668304668,0.049217002237136466,447,0.0,0.36507936507936506,1.0,-0.05,0.9611111111111111,0.9875918373178418
mvtec,bottle,1,1,brightness_contrast,matched_condition,mvtec,source_validated_pool,0.1,0.09090909090909091,0.09843400447427293,447,0.0,0.5238095238095238,1.0,-0.1,0.9611111111111111,0.9875918373178418
mvtec,bottle,1,1,brightness_contrast,matched_condition,mvtec,source_validated_pool,0.2,0.19607843137254902,0.19686800894854586,447,0.0,0.7142857142857143,1.0,-0.2,0.9611111111111111,0.9875918373178418
mvtec,bottle,1,1,clean,matched_condition,mvtec,source_validated_pool,0.05,0.04918032786885246,0.049217002237136466,447,0.0,0.38095238095238093,1.0,-0.05,0.9567460317460317,0.9859945541127961
mvtec,bottle,1,1,clean,matched_condition,mvtec,source_validated_pool,0.1,0.08624708624708624,0.09843400447427293,447,0.0,0.4603174603174603,1.0,-0.1,0.9567460317460317,0.9859945541127961
mvtec,bottle,1,1,clean,matched_condition,mvtec,source_validated_pool,0.2,0.18974358974358974,0.19686800894854586,447,0.0,0.6825396825396826,1.0,-0.2,0.9567460317460317,0.9859945541127961
mvtec,bottle,1,1,gaussian_noise,matched_condition,mvtec,source_validated_pool,0.05,0.0,0.0,447,0.0,0.0,,-0.05,0.6206349206349207,0.8651521549998638
mvtec,bottle,1,1,gaussian_noise,matched_condition,mvtec,source_validated_pool,0.1,0.0936768149882904,0.09843400447427293,447,0.0,0.14285714285714285,1.0,-0.1,0.6206349206349207,0.8651521549998638
mvtec,bottle,1,1,gaussian_noise,matched_condition,mvtec,source_validated_pool,0.2,0.20098039215686275,0.19686800894854586,447,1.0,0.9841269841269841,0.7560975609756098,0.8,0.6206349206349207,0.8651521549998638
mvtec,bottle,1,1,jpeg,matched_condition,mvtec,source_validated_pool,0.05,0.03747072599531616,0.049217002237136466,447,0.7,0.746031746031746,0.7704918032786885,0.6499999999999999,0.5587301587301587,0.8235776028626182
mvtec,bottle,1,1,jpeg,matched_condition,mvtec,source_validated_pool,0.1,0.09558823529411764,0.09843400447427293,447,1.0,0.9841269841269841,0.7560975609756098,0.9,0.5587301587301587,0.8235776028626182
mvtec,bottle,1,1,jpeg,matched_condition,mvtec,source_validated_pool,0.2,0.18990384615384615,0.19910514541387025,447,1.0,1.0,0.7590361445783133,0.8,0.5587301587301587,0.8235776028626182
mvtec,bottle,1,2,blur,matched_condition,mvtec,source_validated_pool,0.05,0.04176904176904177,0.04697986577181208,447,0.0,0.7777777777777778,1.0,-0.05,0.9928571428571429,0.9978343399142628
mvtec,bottle,1,2,blur,matched_condition,mvtec,source_validated_pool,0.1,0.09487179487179487,0.09843400447427293,447,0.0,0.9206349206349206,1.0,-0.1,0.9928571428571429,0.9978343399142628
mvtec,bottle,1,2,blur,matched_condition,mvtec,source_validated_pool,0.2,0.18414918414918416,0.19910514541387025,447,0.15,0.9682539682539683,0.953125,-0.05000000000000002,0.9928571428571429,0.9978343399142628
mvtec,bottle,1,2,brightness_contrast,matched_condition,mvtec,source_validated_pool,0.05,0.04668304668304668,0.049217002237136466,447,0.0,0.8095238095238095,1.0,-0.05,0.9916666666666666,0.9972110917723347
mvtec,bottle,1,2,brightness_contrast,matched_condition,mvtec,source_validated_pool,0.1,0.09582309582309582,0.09843400447427293,447,0.05,0.9365079365079365,0.9833333333333333,-0.05,0.9916666666666666,0.9972110917723347
mvtec,bottle,1,2,brightness_contrast,matched_condition,mvtec,source_validated_pool,0.2,0.19362745098039216,0.19910514541387025,447,0.2,1.0,0.9402985074626866,0.0,0.9916666666666666,0.9972110917723347
mvtec,bottle,1,2,clean,matched_condition,mvtec,source_validated_pool,0.05,0.044226044226044224,0.049217002237136466,447,0.0,0.8253968253968254,1.0,-0.05,0.9940476190476191,0.9979657535736621
mvtec,bottle,1,2,clean,matched_condition,mvtec,source_validated_pool,0.1,0.09230769230769231,0.09843400447427293,447,0.05,0.9365079365079365,0.9833333333333333,-0.05,0.9940476190476191,0.9979657535736621
mvtec,bottle,1,2,clean,matched_condition,mvtec,source_validated_pool,0.2,0.18795180722891566,0.19910514541387025,447,0.15,1.0,0.9545454545454546,-0.05000000000000002,0.9940476190476191,0.9979657535736621
mvtec,bottle,1,2,gaussian_noise,matched_condition,mvtec,source_validated_pool,0.05,0.0,0.0,447,0.0,0.0,,-0.05,0.6317460317460317,0.8260737240272261
mvtec,bottle,1,2,gaussian_noise,matched_condition,mvtec,source_validated_pool,0.1,0.08196721311475409,0.0894854586129754,447,0.95,1.0,0.7682926829268293,0.85,0.6317460317460317,0.8260737240272261
mvtec,bottle,1,2,gaussian_noise,matched_condition,mvtec,source_validated_pool,0.2,0.1971153846153846,0.19686800894854586,447,1.0,1.0,0.7590361445783133,0.8,0.6317460317460317,0.8260737240272261
mvtec,bottle,1,2,jpeg,matched_condition,mvtec,source_validated_pool,0.05,0.041666666666666664,0.049217002237136466,447,1.0,0.9365079365079365,0.7468354430379747,0.95,0.8194444444444445,0.9386854220142256
mvtec,bottle,1,2,jpeg,matched_condition,mvtec,source_validated_pool,0.1,0.08944954128440367,0.09843400447427293,447,1.0,1.0,0.7590361445783133,0.9,0.8194444444444445,0.9386854220142256
mvtec,bottle,1,2,jpeg,matched_condition,mvtec,source_validated_pool,0.2,0.18872549019607843,0.19910514541387025,447,1.0,1.0,0.7590361445783133,0.8,0.8194444444444445,0.9386854220142256
mvtec,bottle,1,3,blur,matched_condition,mvtec,source_validated_pool,0.05,0.037296037296037296,0.049217002237136466,447,0.0,0.25396825396825395,1.0,-0.05,0.9896825396825396,0.996993473822188
mvtec,bottle,1,3,blur,matched_condition,mvtec,source_validated_pool,0.1,0.08353808353808354,0.09843400447427293,447,0.0,0.5396825396825397,1.0,-0.1,0.9896825396825396,0.996993473822188
mvtec,bottle,1,3,blur,matched_condition,mvtec,source_validated_pool,0.2,0.19117647058823528,0.19686800894854586,447,0.0,0.873015873015873,1.0,-0.2,0.9896825396825396,0.996993473822188
mvtec,bottle,1,3,brightness_contrast,matched_condition,mvtec,source_validated_pool,0.05,0.039627039627039624,0.049217002237136466,447,0.0,0.25396825396825395,1.0,-0.05,0.9865079365079366,0.9959463505799149
mvtec,bottle,1,3,brightness_contrast,matched_condition,mvtec,source_validated_pool,0.1,0.0857843137254902,0.09843400447427293,447,0.0,0.5714285714285714,1.0,-0.1,0.9865079365079366,0.9959463505799149
mvtec,bottle,1,3,brightness_contrast,matched_condition,mvtec,source_validated_pool,0.2,0.1941031941031941,0.19910514541387025,447,0.0,0.8571428571428571,1.0,-0.2,0.9865079365079366,0.9959463505799149
mvtec,bottle,1,3,clean,matched_condition,mvtec,source_validated_pool,0.05,0.04176904176904177,0.049217002237136466,447,0.0,0.25396825396825395,1.0,-0.05,0.9876984126984126,0.9962032394901754
mvtec,bottle,1,3,clean,matched_condition,mvtec,source_validated_pool,0.1,0.08624708624708624,0.09843400447427293,447,0.0,0.5714285714285714,1.0,-0.1,0.9876984126984126,0.9962032394901754
mvtec,bottle,1,3,clean,matched_condition,mvtec,source_validated_pool,0.2,0.18990384615384615,0.19686800894854586,447,0.0,0.8888888888888888,1.0,-0.2,0.9876984126984126,0.9962032394901754
mvtec,bottle,1,3,gaussian_noise,matched_condition,mvtec,source_validated_pool,0.05,0.0,0.0,447,0.0,0.0,,-0.05,0.7575396825396825,0.9201137898639473
mvtec,bottle,1,3,gaussian_noise,matched_condition,mvtec,source_validated_pool,0.1,0.002403846153846154,0.07158836689038031,447,0.0,0.015873015873015872,1.0,-0.1,0.7575396825396825,0.9201137898639473
mvtec,bottle,1,3,gaussian_noise,matched_condition,mvtec,source_validated_pool,0.2,0.2107728337236534,0.19910514541387025,447,1.0,1.0,0.7590361445783133,0.8,0.7575396825396825,0.9201137898639473
mvtec,bottle,1,3,jpeg,matched_condition,mvtec,source_validated_pool,0.05,0.046620046620046623,0.049217002237136466,447,0.0,0.3333333333333333,1.0,-0.05,0.6996031746031746,0.8945081790534474
mvtec,bottle,1,3,jpeg,matched_condition,mvtec,source_validated_pool,0.1,0.09176470588235294,0.09843400447427293,447,0.85,0.9047619047619048,0.7702702702702703,0.75,0.6996031746031746,0.8945081790534474
mvtec,bottle,1,3,jpeg,matched_condition,mvtec,source_validated_pool,0.2,0.1990521327014218,0.19910514541387025,447,1.0,1.0,0.7590361445783133,0.8,0.6996031746031746,0.8945081790534474
mvtec,bottle,1,4,blur,matched_condition,mvtec,source_validated_pool,0.05,0.0343980343980344,0.0447427293064877,447,0.0,0.36507936507936506,1.0,-0.05,0.9579365079365079,0.9858400817420604
mvtec,bottle,1,4,blur,matched_condition,mvtec,source_validated_pool,0.1,0.09090909090909091,0.09843400447427293,447,0.1,0.8253968253968254,0.9629629629629629,0.0,0.9579365079365079,0.9858400817420604
mvtec,bottle,1,4,blur,matched_condition,mvtec,source_validated_pool,0.2,0.17715617715617715,0.19910514541387025,447,0.15,0.9206349206349206,0.9508196721311475,-0.05000000000000002,0.9579365079365079,0.9858400817420604
mvtec,bottle,1,4,brightness_contrast,matched_condition,mvtec,source_validated_pool,0.05,0.0343980343980344,0.049217002237136466,447,0.0,0.4444444444444444,1.0,-0.05,0.9563492063492063,0.9859486961579409
mvtec,bottle,1,4,brightness_contrast,matched_condition,mvtec,source_validated_pool,0.1,0.09068627450980392,0.09843400447427293,447,0.1,0.8571428571428571,0.9642857142857143,0.0,0.9563492063492063,0.9859486961579409
mvtec,bottle,1,4,brightness_contrast,matched_condition,mvtec,source_validated_pool,0.2,0.17892156862745098,0.19910514541387025,447,0.15,0.9206349206349206,0.9508196721311475,-0.05000000000000002,0.9563492063492063,0.9859486961579409
mvtec,bottle,1,4,clean,matched_condition,mvtec,source_validated_pool,0.05,0.03263403263403263,0.04697986577181208,447,0.0,0.3968253968253968,1.0,-0.05,0.9563492063492063,0.9853428599910761
mvtec,bottle,1,4,clean,matched_condition,mvtec,source_validated_pool,0.1,0.09230769230769231,0.09843400447427293,447,0.1,0.8412698412698413,0.9636363636363636,0.0,0.9563492063492063,0.9853428599910761
mvtec,bottle,1,4,clean,matched_condition,mvtec,source_validated_pool,0.2,0.17892156862745098,0.19910514541387025,447,0.15,0.9206349206349206,0.9508196721311475,-0.05000000000000002,0.9563492063492063,0.9853428599910761
mvtec,bottle,1,4,gaussian_noise,matched_condition,mvtec,source_validated_pool,0.05,0.0,0.0,447,0.0,0.0,,-0.05,0.7277777777777777,0.8972360900813056
mvtec,bottle,1,4,gaussian_noise,matched_condition,mvtec,source_validated_pool,0.1,0.09090909090909091,0.09843400447427293,447,0.05,0.36507936507936506,0.9583333333333334,-0.05,0.7277777777777777,0.8972360900813056
mvtec,bottle,1,4,gaussian_noise,matched_condition,mvtec,source_validated_pool,0.2,0.1941031941031941,0.19910514541387025,447,1.0,1.0,0.7590361445783133,0.8,0.7277777777777777,0.8972360900813056
mvtec,bottle,1,4,jpeg,matched_condition,mvtec,source_validated_pool,0.05,0.039627039627039624,0.049217002237136466,447,1.0,0.8888888888888888,0.7368421052631579,0.95,0.6452380952380952,0.8628565669203832
mvtec,bottle,1,4,jpeg,matched_condition,mvtec,source_validated_pool,0.1,0.0871559633027523,0.09843400447427293,447,1.0,1.0,0.7590361445783133,0.9,0.6452380952380952,0.8628565669203832
mvtec,bottle,1,4,jpeg,matched_condition,mvtec,source_validated_pool,0.2,0.18137254901960784,0.19910514541387025,447,1.0,1.0,0.7590361445783133,0.8,0.6452380952380952,0.8628565669203832
mvtec,bottle,2,0,blur,matched_condition,mvtec,source_validated_pool,0.05,0.04578313253012048,0.049217002237136466,447,0.0,0.12698412698412698,1.0,-0.05,0.9873015873015873,0.9959293679688401
