dataset,source_dataset,source_mode,method,k_shot,corruption,alpha,selected_p_threshold_mean,selected_p_threshold_std,source_validation_far_mean,source_validation_far_std,false_alarm_rate_mean,false_alarm_rate_std,power_mean,power_std,alarm_precision_mean,alarm_precision_std,coverage_gap_mean,coverage_gap_std,auroc_mean,auroc_std,ap_mean,ap_std
mvtec,mvtec,clean_source,source_validated_pool,1,blur,0.05,0.042001866435246504,0.004446888361272937,0.048551958735400295,0.0010343942824273809,0.06648307131062335,0.17378962386793542,0.4789776122483139,0.3444782246120077,0.9493709576952056,0.14481640649702368,0.01648307131062335,0.17378962386793542,0.9012974430566847,0.11130163996497727,0.9407097821748172,0.08054522517964685
mvtec,mvtec,clean_source,source_validated_pool,1,blur,0.1,0.08999918363319519,0.0037105849677103314,0.09846038764864677,0.0009337572891535936,0.129813176043617,0.22691992105411,0.6262468040269809,0.29428792923220476,0.9373310955245935,0.09774626815141788,0.02981317604361698,0.22691992105411,0.9012974430566847,0.11130163996497727,0.9407097821748172,0.08054522517964685
mvtec,mvtec,clean_source,source_validated_pool,1,blur,0.2,0.18665171366262476,0.00560756010459915,0.1986446851353484,0.0012837792926843443,0.22846509146797161,0.2781606318309589,0.7742001530766752,0.23135648220438634,0.9067512249847247,0.10128587457394998,0.028465091467971597,0.2781606318309589,0.9012974430566847,0.11130163996497727,0.9407097821748172,0.08054522517964685
mvtec,mvtec,clean_source,source_validated_pool,1,brightness_contrast,0.05,0.042001866435246504,0.004446888361272937,0.048551958735400295,0.0010343942824273809,0.06342148163799388,0.16766140286754264,0.482507975959622,0.33984275148290616,0.9616736484680551,0.09579434966700745,0.013421481637993882,0.16766140286754264,0.9036525332087441,0.1108079620744209,0.9420329005957843,0.07986819062274952
mvtec,mvtec,clean_source,source_validated_pool,1,brightness_contrast,0.1,0.08999918363319519,0.0037105849677103314,0.09846038764864677,0.0009337572891535936,0.12446244264321779,0.2228305854913404,0.629624045271095,0.29207542323264124,0.9401783417698827,0.09245176211836209,0.024462442643217785,0.2228305854913404,0.9036525332087441,0.1108079620744209,0.9420329005957843,0.07986819062274952
mvtec,mvtec,clean_source,source_validated_pool,1,brightness_contrast,0.2,0.18665171366262476,0.00560756010459915,0.1986446851353484,0.0012837792926843443,0.22399359923571183,0.27699141997005217,0.7770674900695879,0.23128640211253754,0.9098239155396597,0.10057808348749074,0.0239935992357118,0.27699141997005217,0.9036525332087441,0.1108079620744209,0.9420329005957843,0.07986819062274952
mvtec,mvtec,clean_source,source_validated_pool,1,clean,0.05,0.042001866435246504,0.004446888361272937,0.048551958735400295,0.0010343942824273809,0.06472306893958119,0.16857590564382882,0.4779724924079023,0.34166511365860786,0.9620688045529838,0.09272343673267884,0.014723068939581184,0.16857590564382882,0.903112005368201,0.11156433264503085,0.9416122394183464,0.08043977708569888
mvtec,mvtec,clean_source,source_validated_pool,1,clean,0.1,0.08999918363319519,0.0037105849677103314,0.09846038764864677,0.0009337572891535936,0.12642879422060915,0.2244833111974429,0.625755581960297,0.29280211795886996,0.9386319057300788,0.09687638630527565,0.026428794220609158,0.22448331119744291,0.903112005368201,0.11156433264503085,0.9416122394183464,0.08043977708569888
mvtec,mvtec,clean_source,source_validated_pool,1,clean,0.2,0.18665171366262476,0.00560756010459915,0.1986446851353484,0.0012837792926843443,0.22450578159226467,0.2772742749904,0.7754341724479391,0.23036729579633192,0.90830144687306,0.10146133050171698,0.024505781592264655,0.2772742749904001,0.903112005368201,0.11156433264503085,0.9416122394183464,0.08043977708569888
mvtec,mvtec,clean_source,source_validated_pool,1,gaussian_noise,0.05,0.042001866435246504,0.004446888361272937,0.048551958735400295,0.0010343942824273809,0.1600978613022482,0.3277982808766597,0.5091863371189518,0.3824418414721446,0.937449852500296,0.1204731312332019,0.1100978613022482,0.3277982808766597,0.8475206286844974,0.17019786548888485,0.9107235413774563,0.10454996487967619
mvtec,mvtec,clean_source,source_validated_pool,1,gaussian_noise,0.1,0.08999918363319519,0.0037105849677103314,0.09846038764864677,0.0009337572891535936,0.24655926938891776,0.3645108620349552,0.6424028835915389,0.33735382655320567,0.8937931868700552,0.13015641453482196,0.14655926938891778,0.3645108620349552,0.8475206286844974,0.17019786548888485,0.9107235413774563,0.10454996487967619
mvtec,mvtec,clean_source,source_validated_pool,1,gaussian_noise,0.2,0.18665171366262476,0.00560756010459915,0.1986446851353484,0.0012837792926843443,0.3400018179154037,0.3785113499080677,0.7659891402633298,0.27581721375406143,0.8705237669983799,0.11908828039803526,0.14000181791540364,0.3785113499080677,0.8475206286844974,0.17019786548888485,0.9107235413774563,0.10454996487967619
mvtec,mvtec,clean_source,source_validated_pool,1,jpeg,0.05,0.042001866435246504,0.004446888361272937,0.048551958735400295,0.0010343942824273809,0.10338237981840427,0.2356536905209455,0.5004915967450305,0.35104431632166266,0.9536397436675156,0.10641919501828793,0.053382379818404255,0.2356536905209455,0.8775044951660209,0.12656023114666853,0.9307306833598862,0.08304992611081603
mvtec,mvtec,clean_source,source_validated_pool,1,jpeg,0.1,0.08999918363319519,0.0037105849677103314,0.09846038764864677,0.0009337572891535936,0.18081737647706683,0.2972376216768684,0.653384232750661,0.3112028842944269,0.9248674262747547,0.10199087351879456,0.08081737647706684,0.29723762167686835,0.8775044951660209,0.12656023114666853,0.9307306833598862,0.08304992611081603
mvtec,mvtec,clean_source,source_validated_pool,1,jpeg,0.2,0.18665171366262476,0.00560756010459915,0.1986446851353484,0.0012837792926843443,0.28935036962019234,0.3288243254724002,0.7866589269999291,0.24473161832661336,0.890156200836759,0.10334835083756314,0.08935036962019234,0.3288243254724002,0.8775044951660209,0.12656023114666853,0.9307306833598862,0.08304992611081603
mvtec,mvtec,clean_source,source_validated_pool,2,blur,0.05,0.040953847825591964,0.005110106966000987,0.04767230569099061,0.0019234692156661775,0.05454296461749218,0.13831109108207482,0.3574118651669949,0.40535108060705755,0.9444083526504816,0.08730655056020037,0.004542964617492179,0.13831109108207482,0.9302459791438891,0.09543382088452916,0.9534203021924855,0.07515017520044572
mvtec,mvtec,clean_source,source_validated_pool,2,blur,0.1,0.08909426164958954,0.003504891656789328,0.09824902873054304,0.0012038280268414684,0.12188674272858625,0.20821424812090958,0.5079206749780635,0.4071100599991621,0.9231989883111357,0.12047935110434524,0.021886742728586244,0.20821424812090955,0.9302459791438891,0.09543382088452916,0.9534203021924855,0.07515017520044572
mvtec,mvtec,clean_source,source_validated_pool,2,blur,0.2,0.19202213172451071,0.006524765582920828,0.1984646661864816,0.0018035211007818603,0.23619726118828832,0.27755728475275004,0.7660084007377695,0.30340954276844617,0.9093846980340435,0.0957603256451273,0.03619726118828828,0.27755728475275004,0.9302459791438891,0.09543382088452916,0.9534203021924855,0.07515017520044572
mvtec,mvtec,clean_source,source_validated_pool,2,brightness_contrast,0.05,0.040953847825591964,0.005110106966000987,0.04767230569099061,0.0019234692156661775,0.05276717718653234,0.1346057754203171,0.3603461985587438,0.40865230088697,0.9402070479730197,0.10386027264663403,0.0027671771865323334,0.1346057754203171,0.931163892128968,0.09455034996226652,0.9542472870193003,0.07351702379698583
mvtec,mvtec,clean_source,source_validated_pool,2,brightness_contrast,0.1,0.08909426164958954,0.003504891656789328,0.09824902873054304,0.0012038280268414684,0.11762593943432938,0.20489152106589414,0.5080779541648668,0.4086651283373491,0.925529187700096,0.11035414808541592,0.017625939434329368,0.20489152106589417,0.931163892128968,0.09455034996226652,0.9542472870193003,0.07351702379698583
mvtec,mvtec,clean_source,source_validated_pool,2,brightness_contrast,0.2,0.19202213172451071,0.006524765582920828,0.1984646661864816,0.0018035211007818603,0.2374336318078194,0.27054263925634164,0.7698886276077659,0.3012879131631393,0.9083950379029591,0.09478202979143867,0.03743363180781938,0.27054263925634164,0.931163892128968,0.09455034996226652,0.9542472870193003,0.07351702379698583
mvtec,mvtec,clean_source,source_validated_pool,2,clean,0.05,0.040953847825591964,0.005110106966000987,0.04767230569099061,0.0019234692156661775,0.05292582724593933,0.13510008495649242,0.36137314380049873,0.4085054487486756,0.952023832162978,0.07571978190177345,0.002925827245939331,0.13510008495649242,0.9319046358461638,0.09391557840163525,0.9546007299031148,0.0733081551748297
mvtec,mvtec,clean_source,source_validated_pool,2,clean,0.1,0.08909426164958954,0.003504891656789328,0.09824902873054304,0.0012038280268414684,0.11712667729667911,0.20307061485324882,0.508499889996294,0.40884729490659977,0.9229782497622067,0.1227894153801268,0.0171266772966791,0.20307061485324884,0.9319046358461638,0.09391557840163525,0.9546007299031148,0.0733081551748297
mvtec,mvtec,clean_source,source_validated_pool,2,clean,0.2,0.19202213172451071,0.006524765582920828,0.1984646661864816,0.0018035211007818603,0.22950224514517334,0.2666457515580465,0.7683856647692351,0.302577912251883,0.9103356197554404,0.09353396725999934,0.029502245145173345,0.2666457515580465,0.9319046358461638,0.09391557840163525,0.9546007299031148,0.0733081551748297
mvtec,mvtec,clean_source,source_validated_pool,2,gaussian_noise,0.05,0.040953847825591964,0.005110106966000987,0.04767230569099061,0.0019234692156661775,0.10967887786409013,0.2582591142623221,0.36211943201846336,0.42095679486319637,0.9250320434728716,0.10095236269935713,0.05967887786409013,0.2582591142623221,0.8634282115844217,0.17827297320878982,0.9189152404277081,0.1045699879076984
mvtec,mvtec,clean_source,source_validated_pool,2,gaussian_noise,0.1,0.08909426164958954,0.003504891656789328,0.09824902873054304,0.0012038280268414684,0.21221117888496202,0.33244855049449207,0.5108017419449878,0.42742867284123004,0.8907928783663241,0.1609012812530773,0.11221117888496203,0.33244855049449207,0.8634282115844217,0.17827297320878982,0.9189152404277081,0.1045699879076984
mvtec,mvtec,clean_source,source_validated_pool,2,gaussian_noise,0.2,0.19202213172451071,0.006524765582920828,0.1984646661864816,0.0018035211007818603,0.3680022303159056,0.39806504486897193,0.771865780981193,0.311190080925324,0.8747290934395276,0.11320338331219752,0.1680022303159056,0.3980650448689718,0.8634282115844217,0.17827297320878982,0.9189152404277081,0.1045699879076984
mvtec,mvtec,clean_source,source_validated_pool,2,jpeg,0.05,0.040953847825591964,0.005110106966000987,0.04767230569099061,0.0019234692156661775,0.0885823098254078,0.21014024567130138,0.368578946881051,0.41631173540676475,0.9320875373872052,0.0900210996022899,0.038582309825407786,0.21014024567130135,0.8972177220293722,0.12237309374712947,0.9393924797760679,0.0813208796450711
mvtec,mvtec,clean_source,source_validated_pool,2,jpeg,0.1,0.08909426164958954,0.003504891656789328,0.09824902873054304,0.0012038280268414684,0.21262419718170952,0.32880127454914426,0.5278245344035617,0.4229906362554039,0.9077058896225388,0.1095292244245588,0.1126241971817095,0.3288012745491443,0.8972177220293722,0.12237309374712947,0.9393924797760679,0.0813208796450711
mvtec,mvtec,clean_source,source_validated_pool,2,jpeg,0.2,0.19202213172451071,0.006524765582920828,0.1984646661864816,0.0018035211007818603,0.35016470562717816,0.3737055362731803,0.7736999984452025,0.3079956911257617,0.8826472726684446,0.10356240334949389,0.15016470562717818,0.3737055362731803,0.8972177220293722,0.12237309374712947,0.9393924797760679,0.0813208796450711
mvtec,mvtec,clean_source,source_validated_pool,4,blur,0.05,0.03900616490988434,0.005458902972632373,0.04864341187973197,0.0009421063603509948,0.0591305387242053,0.14037312511769587,0.4088308158720696,0.388802699839006,0.9505729300026027,0.14360218998257784,0.009130538724205302,0.1403731251176959,0.9460609918273343,0.07315527008681683,0.9651748409169263,0.057021527802990885
mvtec,mvtec,clean_source,source_validated_pool,4,blur,0.1,0.08874890632523655,0.005877923298595911,0.09824613178232018,0.0011112758239652963,0.11492563049398977,0.19563418163166651,0.6239223708849088,0.36333892457632555,0.9352800985335334,0.1401700029907858,0.014925630493989765,0.19563418163166654,0.9460609918273343,0.07315527008681683,0.9651748409169263,0.057021527802990885
mvtec,mvtec,clean_source,source_validated_pool,4,blur,0.2,0.19129688573692022,0.0065892944700990585,0.19892658376537464,0.0008508606617258569,0.22405562438493645,0.24974221544408443,0.8332787615308457,0.22924051920630978,0.9143031752434545,0.08892329373143902,0.02405562438493645,0.24974221544408445,0.9460609918273343,0.07315527008681683,0.9651748409169263,0.057021527802990885
mvtec,mvtec,clean_source,source_validated_pool,4,brightness_contrast,0.05,0.03900616490988434,0.005458902972632373,0.04864341187973197,0.0009421063603509948,0.05876644650291669,0.13676639180893443,0.41240142320431966,0.38929655384262246,0.9506108965180486,0.14277739402080014,0.008766446502916681,0.1367663918089345,0.9472031927577026,0.07282170557085225,0.9659455619129871,0.05569345498582333
mvtec,mvtec,clean_source,source_validated_pool,4,brightness_contrast,0.1,0.08874890632523655,0.005877923298595911,0.09824613178232018,0.0011112758239652963,0.11374280536016983,0.19715704412458146,0.6277339844437652,0.36167532471820263,0.9366330743852982,0.1395785591272822,0.013742805360169813,0.19715704412458152,0.9472031927577026,0.07282170557085225,0.9659455619129871,0.05569345498582333
mvtec,mvtec,clean_source,source_validated_pool,4,brightness_contrast,0.2,0.19129688573692022,0.0065892944700990585,0.19892658376537464,0.0008508606617258569,0.22371970744146802,0.2533057534708015,0.8355539414513276,0.22980644698257832,0.9152490212300277,0.09011735798945253,0.02371970744146802,0.2533057534708014,0.9472031927577026,0.07282170557085225,0.9659455619129871,0.05569345498582333
mvtec,mvtec,clean_source,source_validated_pool,4,clean,0.05,0.03900616490988434,0.005458902972632373,0.04864341187973197,0.0009421063603509948,0.0559922919135447,0.12914520305606217,0.41187017369103374,0.39012443419837767,0.952347471732212,0.14128460903217838,0.0059922919135447,0.12914520305606217,0.9477647234189444,0.07116176416730398,0.966385566004166,0.05480465953597349
mvtec,mvtec,clean_source,source_validated_pool,4,clean,0.1,0.08874890632523655,0.005877923298595911,0.09824613178232018,0.0011112758239652963,0.10963101160012781,0.1906141628045875,0.6234932557917846,0.36221892401079303,0.9379541459626923,0.13770613446657629,0.009631011600127809,0.1906141628045875,0.9477647234189444,0.07116176416730398,0.966385566004166,0.05480465953597349
mvtec,mvtec,clean_source,source_validated_pool,4,clean,0.2,0.19129688573692022,0.0065892944700990585,0.19892658376537464,0.0008508606617258569,0.2200765037064025,0.2523938667166914,0.8333133510976144,0.23160930930788332,0.9161533554496911,0.08995549838584413,0.02007650370640248,0.2523938667166914,0.9477647234189444,0.07116176416730398,0.966385566004166,0.05480465953597349
