dataset,source_dataset,source_mode,method,k_shot,corruption,alpha,selected_p_threshold_mean,selected_p_threshold_std,source_validation_far_mean,source_validation_far_std,false_alarm_rate_mean,false_alarm_rate_std,power_mean,power_std,alarm_precision_mean,alarm_precision_std,coverage_gap_mean,coverage_gap_std,auroc_mean,auroc_std,ap_mean,ap_std
visa,mvtec,clean_source,source_validated_pool,1,blur,0.05,0.04287330034927231,0.004994582932840178,0.048822269807280515,0.0008637592875196739,0.010944444444444444,0.03939797267751928,0.10722222222222223,0.19059467998715782,0.9078622190829456,0.2575042066564546,-0.03905555555555556,0.03939797267751929,0.8050638227513228,0.14467232663693486,0.8075954257275728,0.14843320774514743
visa,mvtec,clean_source,source_validated_pool,1,blur,0.1,0.0882957413457608,0.003597472361297617,0.0980728051391863,0.0008637592875196712,0.02227777777777778,0.06511612592605867,0.18357142857142858,0.2601717186530885,0.8676808281421194,0.2726354626639931,-0.07772222222222223,0.06511612592605867,0.8050638227513228,0.14467232663693486,0.8075954257275728,0.14843320774514743
visa,mvtec,clean_source,source_validated_pool,1,blur,0.2,0.1885952177873844,0.004175935208863783,0.19914346895074947,0.0,0.04694444444444445,0.12227641753419528,0.2752380952380953,0.2999885338008882,0.8629978070944725,0.24637744163748,-0.15305555555555556,0.12227641753419528,0.8050638227513228,0.14467232663693486,0.8075954257275728,0.14843320774514743
visa,mvtec,clean_source,source_validated_pool,1,brightness_contrast,0.05,0.04287330034927231,0.004994582932840178,0.048822269807280515,0.0008637592875196739,0.010722222222222222,0.03982112389610604,0.10551587301587301,0.19119039410655944,0.9356591652773759,0.20260656610924227,-0.03927777777777778,0.03982112389610604,0.8025708994708994,0.14600999021054129,0.8072386734153523,0.1484659327764688
visa,mvtec,clean_source,source_validated_pool,1,brightness_contrast,0.1,0.0882957413457608,0.003597472361297617,0.0980728051391863,0.0008637592875196712,0.022555555555555558,0.0646804885533327,0.18138888888888888,0.25842374150875663,0.8652565898465409,0.27350605603297407,-0.07744444444444445,0.06468048855333271,0.8025708994708994,0.14600999021054129,0.8072386734153523,0.1484659327764688
visa,mvtec,clean_source,source_validated_pool,1,brightness_contrast,0.2,0.1885952177873844,0.004175935208863783,0.19914346895074947,0.0,0.04727777777777778,0.12624743538133396,0.266984126984127,0.2961490627949716,0.8604969654696746,0.2535926101479586,-0.15272222222222223,0.12624743538133393,0.8025708994708994,0.14600999021054129,0.8072386734153523,0.1484659327764688
visa,mvtec,clean_source,source_validated_pool,1,clean,0.05,0.04287330034927231,0.004994582932840178,0.048822269807280515,0.0008637592875196739,0.011277777777777777,0.03990144009345654,0.10650793650793651,0.19047864539714748,0.9294251519340262,0.20365565731601548,-0.03872222222222223,0.039901440093456544,0.8090125,0.14474467627580778,0.8119511458978143,0.1483916929365962
visa,mvtec,clean_source,source_validated_pool,1,clean,0.1,0.0882957413457608,0.003597472361297617,0.0980728051391863,0.0008637592875196712,0.022500000000000003,0.061633828483709505,0.1832936507936508,0.2608023948715468,0.8551058652073534,0.2737478084865759,-0.0775,0.06163382848370951,0.8090125,0.14474467627580778,0.8119511458978143,0.1483916929365962
visa,mvtec,clean_source,source_validated_pool,1,clean,0.2,0.1885952177873844,0.004175935208863783,0.19914346895074947,0.0,0.04766666666666666,0.12664034814299024,0.2767857142857143,0.3017285689631785,0.8680423417788874,0.24995903985394136,-0.15233333333333335,0.12664034814299024,0.8090125,0.14474467627580778,0.8119511458978143,0.1483916929365962
visa,mvtec,clean_source,source_validated_pool,1,gaussian_noise,0.05,0.04287330034927231,0.004994582932840178,0.048822269807280515,0.0008637592875196739,0.008888888888888889,0.030952649985379097,0.09456349206349207,0.17132041453292385,0.8830983302411874,0.30176319064566826,-0.04111111111111111,0.030952649985379097,0.8002660052910053,0.1553622212080238,0.8067248243978854,0.1568373909601261
visa,mvtec,clean_source,source_validated_pool,1,gaussian_noise,0.1,0.0882957413457608,0.003597472361297617,0.0980728051391863,0.0008637592875196712,0.01983333333333333,0.061388285993750236,0.16988095238095238,0.23987303393383855,0.8811492242705793,0.2711271254149144,-0.08016666666666668,0.061388285993750236,0.8002660052910053,0.1553622212080238,0.8067248243978854,0.1568373909601261
visa,mvtec,clean_source,source_validated_pool,1,gaussian_noise,0.2,0.1885952177873844,0.004175935208863783,0.19914346895074947,0.0,0.03794444444444445,0.11230522652389134,0.2550396825396825,0.2846783383833804,0.8636373361309657,0.2687526191920026,-0.16205555555555556,0.11230522652389134,0.8002660052910053,0.1553622212080238,0.8067248243978854,0.1568373909601261
visa,mvtec,clean_source,source_validated_pool,1,jpeg,0.05,0.04287330034927231,0.004994582932840178,0.048822269807280515,0.0008637592875196739,0.011277777777777777,0.04172861684629126,0.10642857142857141,0.19486731263555265,0.9072826928090086,0.2600191638102933,-0.03872222222222223,0.04172861684629126,0.8090463624338624,0.14897091448474387,0.8147831427798385,0.15007963947260652
visa,mvtec,clean_source,source_validated_pool,1,jpeg,0.1,0.0882957413457608,0.003597472361297617,0.0980728051391863,0.0008637592875196712,0.0225,0.06353854651040867,0.18043650793650792,0.25917466635511455,0.871501793694289,0.28317947347642825,-0.0775,0.06353854651040869,0.8090463624338624,0.14897091448474387,0.8147831427798385,0.15007963947260652
visa,mvtec,clean_source,source_validated_pool,1,jpeg,0.2,0.1885952177873844,0.004175935208863783,0.19914346895074947,0.0,0.04605555555555556,0.12110833373342286,0.27015873015873015,0.29958478083174483,0.8712366941205871,0.24058701495619786,-0.15394444444444447,0.12110833373342286,0.8090463624338624,0.14897091448474387,0.8147831427798385,0.15007963947260652
visa,mvtec,clean_source,source_validated_pool,2,blur,0.05,0.04223814740007734,0.006057240482519943,0.04796573875802998,0.0025912778625590276,0.042888888888888886,0.11315783465143112,0.20694444444444443,0.3014844359993173,0.8747978217081132,0.1756101639172837,-0.007111111111111115,0.11315783465143112,0.8406880952380952,0.11563727159988409,0.8344624740966303,0.12744845306484273
visa,mvtec,clean_source,source_validated_pool,2,blur,0.1,0.0892209414771441,0.002564460537362184,0.09850107066381156,0.0,0.06827777777777778,0.13329164838028942,0.3283333333333333,0.34914303789326157,0.8298280227921992,0.24670742588843353,-0.03172222222222223,0.13329164838028942,0.8406880952380952,0.11563727159988409,0.8344624740966303,0.12744845306484273
visa,mvtec,clean_source,source_validated_pool,2,blur,0.2,0.1912031485938934,0.005725626496767798,0.19914346895074947,0.0,0.16227777777777777,0.1943229025571995,0.5401587301587302,0.34506437606093787,0.8093621289199362,0.19462937518403883,-0.03772222222222223,0.1943229025571995,0.8406880952380952,0.11563727159988409,0.8344624740966303,0.12744845306484273
visa,mvtec,clean_source,source_validated_pool,2,brightness_contrast,0.05,0.04223814740007734,0.006057240482519943,0.04796573875802998,0.0025912778625590276,0.043222222222222224,0.11493708533120149,0.20154761904761906,0.2971897872880549,0.8760115626145832,0.16452533610006437,-0.006777777777777782,0.11493708533120148,0.839253373015873,0.11785183120318603,0.8343301520694111,0.1287125517242423
visa,mvtec,clean_source,source_validated_pool,2,brightness_contrast,0.1,0.0892209414771441,0.002564460537362184,0.09850107066381156,0.0,0.06644444444444444,0.13181746590985266,0.32575396825396824,0.3449677468843403,0.8287626904411067,0.24288093169968614,-0.03355555555555556,0.13181746590985266,0.839253373015873,0.11785183120318603,0.8343301520694111,0.1287125517242423
visa,mvtec,clean_source,source_validated_pool,2,brightness_contrast,0.2,0.1912031485938934,0.005725626496767798,0.19914346895074947,0.0,0.16283333333333333,0.19339549458506106,0.5298809523809525,0.3433691655272644,0.8073071196996714,0.16927649180207266,-0.03716666666666668,0.19339549458506106,0.839253373015873,0.11785183120318603,0.8343301520694111,0.1287125517242423
visa,mvtec,clean_source,source_validated_pool,2,clean,0.05,0.04223814740007734,0.006057240482519943,0.04796573875802998,0.0025912778625590276,0.03927777777777777,0.10689257797722179,0.2065873015873016,0.3017284866984855,0.8855055048630557,0.16022150478811112,-0.010722222222222225,0.10689257797722179,0.8449398809523809,0.11523196016430601,0.8400072910590368,0.1259328170291728
visa,mvtec,clean_source,source_validated_pool,2,clean,0.1,0.0892209414771441,0.002564460537362184,0.09850107066381156,0.0,0.06444444444444444,0.1293350612422676,0.3301984126984127,0.34970173684392225,0.8334781005187116,0.24407035798331003,-0.035555555555555556,0.12933506124226762,0.8449398809523809,0.11523196016430601,0.8400072910590368,0.1259328170291728
visa,mvtec,clean_source,source_validated_pool,2,clean,0.2,0.1912031485938934,0.005725626496767798,0.19914346895074947,0.0,0.15861111111111112,0.191847290638409,0.5387698412698413,0.3406278670338696,0.8217978152512739,0.1742504415653532,-0.041388888888888906,0.191847290638409,0.8449398809523809,0.11523196016430601,0.8400072910590368,0.1259328170291728
visa,mvtec,clean_source,source_validated_pool,2,gaussian_noise,0.05,0.04223814740007734,0.006057240482519943,0.04796573875802998,0.0025912778625590276,0.03294444444444444,0.10656614554949234,0.18876984126984125,0.2811500145043617,0.8573177520017141,0.25085602243375715,-0.01705555555555556,0.10656614554949234,0.8394775132275132,0.12368870429965506,0.8367977824077122,0.13240873595820696
visa,mvtec,clean_source,source_validated_pool,2,gaussian_noise,0.1,0.0892209414771441,0.002564460537362184,0.09850107066381156,0.0,0.054,0.12892544452054877,0.30404761904761907,0.3321110126743968,0.8198768473908221,0.28907267731424807,-0.046000000000000006,0.12892544452054877,0.8394775132275132,0.12368870429965506,0.8367977824077122,0.13240873595820696
visa,mvtec,clean_source,source_validated_pool,2,gaussian_noise,0.2,0.1912031485938934,0.005725626496767798,0.19914346895074947,0.0,0.13683333333333333,0.1755233498076071,0.5051190476190476,0.33889877827047005,0.809446824517264,0.19938988654892364,-0.06316666666666668,0.17552334980760712,0.8394775132275132,0.12368870429965506,0.8367977824077122,0.13240873595820696
visa,mvtec,clean_source,source_validated_pool,2,jpeg,0.05,0.04223814740007734,0.006057240482519943,0.04796573875802998,0.0025912778625590276,0.042777777777777776,0.13200919711534603,0.2041269841269841,0.3021766822149381,0.8680731311879926,0.19918057609656856,-0.007222222222222227,0.13200919711534603,0.8461472222222223,0.11662191361681697,0.8426282425608547,0.12652446015841845
visa,mvtec,clean_source,source_validated_pool,2,jpeg,0.1,0.0892209414771441,0.002564460537362184,0.09850107066381156,0.0,0.06605555555555556,0.14694053996428916,0.32749999999999996,0.3511229056348324,0.8389587700091417,0.23542993306980206,-0.03394444444444445,0.14694053996428916,0.8461472222222223,0.11662191361681697,0.8426282425608547,0.12652446015841845
visa,mvtec,clean_source,source_validated_pool,2,jpeg,0.2,0.1912031485938934,0.005725626496767798,0.19914346895074947,0.0,0.16755555555555554,0.2047559446298643,0.5316666666666666,0.3487163846924832,0.8085535296706668,0.17884960351146836,-0.032444444444444456,0.20475594462986427,0.8461472222222223,0.11662191361681697,0.8426282425608547,0.12652446015841845
visa,mvtec,clean_source,source_validated_pool,4,blur,0.05,0.04002084665865301,0.005025169007845281,0.04925053533190578,0.0,0.04577777777777778,0.11992757806239611,0.21595238095238095,0.2926302788685551,0.8924871577165909,0.16396349913588779,-0.004222222222222225,0.11992757806239611,0.8617034391534392,0.10339341108114052,0.8528237515822298,0.12185291125126202
visa,mvtec,clean_source,source_validated_pool,4,blur,0.1,0.08849217129930069,0.0046607630824290125,0.09850107066381156,0.0,0.08788888888888889,0.16742985339136537,0.3874206349206349,0.34615130443135267,0.8549547189850835,0.18804698216699056,-0.012111111111111118,0.1674298533913654,0.8617034391534392,0.10339341108114052,0.8528237515822298,0.12185291125126202
visa,mvtec,clean_source,source_validated_pool,4,blur,0.2,0.19173454888845118,0.00610188635837031,0.19914346895074947,0.0,0.1557777777777778,0.20831298582367505,0.5596825396825397,0.3581744226957317,0.8406946911857774,0.17566529305153192,-0.04422222222222223,0.20831298582367502,0.8617034391534392,0.10339341108114052,0.8528237515822298,0.12185291125126202
visa,mvtec,clean_source,source_validated_pool,4,brightness_contrast,0.05,0.04002084665865301,0.005025169007845281,0.04925053533190578,0.0,0.04677777777777778,0.12572945975224725,0.21126984126984125,0.29018325862125044,0.8794446936011232,0.20138421993584205,-0.0032222222222222257,0.12572945975224725,0.8607255291005291,0.10405973401993393,0.8522794951596425,0.12228236742866663
visa,mvtec,clean_source,source_validated_pool,4,brightness_contrast,0.1,0.08849217129930069,0.0046607630824290125,0.09850107066381156,0.0,0.08855555555555555,0.1690221869640989,0.38186507936507935,0.3444051044744546,0.8584950197697389,0.18691793829107137,-0.011444444444444448,0.1690221869640989,0.8607255291005291,0.10405973401993393,0.8522794951596425,0.12228236742866663
visa,mvtec,clean_source,source_validated_pool,4,brightness_contrast,0.2,0.19173454888845118,0.00610188635837031,0.19914346895074947,0.0,0.15544444444444444,0.21146780254419062,0.5526984126984128,0.3592470877994258,0.8245673159799481,0.21266964360370127,-0.044555555555555564,0.2114678025441906,0.8607255291005291,0.10405973401993393,0.8522794951596425,0.12228236742866663
visa,mvtec,clean_source,source_validated_pool,4,clean,0.05,0.04002084665865301,0.005025169007845281,0.04925053533190578,0.0,0.04572222222222222,0.12245309900681005,0.21817460317460316,0.2963117265253372,0.8942368848107071,0.16015522636270577,-0.004277777777777782,0.12245309900681006,0.864713029100529,0.1019917294375094,0.8555563979337053,0.12084437540975085
visa,mvtec,clean_source,source_validated_pool,4,clean,0.1,0.08849217129930069,0.0046607630824290125,0.09850107066381156,0.0,0.08605555555555555,0.16625088438847413,0.3873015873015873,0.34677323290295986,0.8543106570535495,0.18821389062280688,-0.013944444444444452,0.16625088438847413,0.864713029100529,0.1019917294375094,0.8555563979337053,0.12084437540975085
visa,mvtec,clean_source,source_validated_pool,4,clean,0.2,0.19173454888845118,0.00610188635837031,0.19914346895074947,0.0,0.15350000000000003,0.20628854145399486,0.5583333333333333,0.3589463476552211,0.8425759793308193,0.17163422407384193,-0.046500000000000014,0.2062885414539949,0.864713029100529,0.1019917294375094,0.8555563979337053,0.12084437540975085
visa,mvtec,clean_source,source_validated_pool,4,gaussian_noise,0.05,0.04002084665865301,0.005025169007845281,0.04925053533190578,0.0,0.04038888888888889,0.11579593009359093,0.20277777777777778,0.28274491658792056,0.9063169335158828,0.1959725218774128,-0.009611111111111115,0.11579593009359095,0.8596935846560847,0.11149721538090819,0.8523419078409312,0.12630677358723116
visa,mvtec,clean_source,source_validated_pool,4,gaussian_noise,0.1,0.08849217129930069,0.0046607630824290125,0.09850107066381156,0.0,0.077,0.159956090961806,0.36063492063492064,0.33852876826516726,0.8670495338064743,0.18943656626018043,-0.023000000000000007,0.159956090961806,0.8596935846560847,0.11149721538090819,0.8523419078409312,0.12630677358723116
visa,mvtec,clean_source,source_validated_pool,4,gaussian_noise,0.2,0.19173454888845118,0.00610188635837031,0.19914346895074947,0.0,0.14150000000000001,0.20348139927113945,0.535952380952381,0.3506002002331876,0.8359926971532726,0.2173188246733666,-0.05850000000000001,0.20348139927113945,0.8596935846560847,0.11149721538090819,0.8523419078409312,0.12630677358723116
visa,mvtec,clean_source,source_validated_pool,4,jpeg,0.05,0.04002084665865301,0.005025169007845281,0.04925053533190578,0.0,0.041555555555555554,0.11125455900291382,0.21134920634920634,0.29014203204616984,0.9082355507755512,0.15208021589764475,-0.008444444444444447,0.11125455900291381,0.8650316137566137,0.10388311023281818,0.8584577489902648,0.1205732697623576
visa,mvtec,clean_source,source_validated_pool,4,jpeg,0.1,0.08849217129930069,0.0046607630824290125,0.09850107066381156,0.0,0.08844444444444445,0.17370068273158487,0.3831349206349206,0.3476108359911799,0.8592427387757092,0.1898348145338141,-0.011555555555555558,0.17370068273158487,0.8650316137566137,0.10388311023281818,0.8584577489902648,0.1205732697623576
visa,mvtec,clean_source,source_validated_pool,4,jpeg,0.2,0.19173454888845118,0.00610188635837031,0.19914346895074947,0.0,0.15555555555555556,0.21969647497715702,0.5534920634920635,0.35803559841426735,0.8249070135598356,0.21719474496518715,-0.044444444444444446,0.21969647497715702,0.8650316137566137,0.10388311023281818,0.8584577489902648,0.1205732697623576
visa,mvtec,clean_source,source_validated_pool,8,blur,0.05,0.03710397807872836,0.011032219633948044,0.048822269807280515,0.0008637592875196733,0.025666666666666667,0.06822003836594934,0.23496031746031748,0.2923797074380284,0.9024957875739433,0.21908844407476488,-0.024333333333333335,0.06822003836594934,0.8738626322751323,0.0940435096768759,0.8643292737767728,0.11090033830573194
