dataset,class,k_shot,seed,corruption,source_mode,source_dataset,method,alpha,selected_p_threshold,source_validation_far,source_validation_count,false_alarm_rate,power,alarm_precision,coverage_gap,auroc,ap
visa,candle,1,0,blur,matched_condition,visa,source_validated_pool,0.05,0.03152364273204904,0.05,620,0.016666666666666666,0.15,0.9,-0.03333333333333334,0.8455555555555556,0.8220904109528763
visa,candle,1,0,blur,matched_condition,visa,source_validated_pool,0.1,0.0873440285204991,0.1,620,0.05,0.45,0.9,-0.05,0.8455555555555556,0.8220904109528763
visa,candle,1,0,blur,matched_condition,visa,source_validated_pool,0.2,0.19264448336252188,0.2,620,0.15,0.55,0.7857142857142857,-0.05000000000000002,0.8455555555555556,0.8220904109528763
visa,candle,1,0,brightness_contrast,matched_condition,visa,source_validated_pool,0.05,0.03152364273204904,0.05,620,0.016666666666666666,0.11666666666666667,0.875,-0.03333333333333334,0.8018055555555555,0.7900212402825545
visa,candle,1,0,brightness_contrast,matched_condition,visa,source_validated_pool,0.1,0.0962566844919786,0.0967741935483871,620,0.08333333333333333,0.4,0.8275862068965517,-0.016666666666666677,0.8018055555555555,0.7900212402825545
visa,candle,1,0,brightness_contrast,matched_condition,visa,source_validated_pool,0.2,0.1889483065953654,0.2,620,0.1,0.48333333333333334,0.8285714285714286,-0.1,0.8018055555555555,0.7900212402825545
visa,candle,1,0,clean,matched_condition,visa,source_validated_pool,0.05,0.0338680926916221,0.05,620,0.016666666666666666,0.16666666666666666,0.9090909090909091,-0.03333333333333334,0.8533333333333333,0.8264211569709154
visa,candle,1,0,clean,matched_condition,visa,source_validated_pool,0.1,0.09269162210338681,0.1,620,0.05,0.48333333333333334,0.90625,-0.05,0.8533333333333333,0.8264211569709154
visa,candle,1,0,clean,matched_condition,visa,source_validated_pool,0.2,0.18739054290718038,0.2,620,0.15,0.55,0.7857142857142857,-0.05000000000000002,0.8533333333333333,0.8264211569709154
visa,candle,1,0,gaussian_noise,matched_condition,visa,source_validated_pool,0.05,0.04553415061295972,0.05,620,0.0,0.16666666666666666,1.0,-0.05,0.9090277777777778,0.907843533839278
visa,candle,1,0,gaussian_noise,matched_condition,visa,source_validated_pool,0.1,0.08231173380035026,0.0967741935483871,620,0.0,0.18333333333333332,1.0,-0.1,0.9090277777777778,0.907843533839278
visa,candle,1,0,gaussian_noise,matched_condition,visa,source_validated_pool,0.2,0.19073083778966132,0.19838709677419356,620,0.0,0.3,1.0,-0.2,0.9090277777777778,0.907843533839278
visa,candle,1,0,jpeg,matched_condition,visa,source_validated_pool,0.05,0.043782837127845885,0.05,620,0.016666666666666666,0.13333333333333333,0.8888888888888888,-0.03333333333333334,0.8813888888888888,0.8636921102672702
visa,candle,1,0,jpeg,matched_condition,visa,source_validated_pool,0.1,0.09090909090909091,0.09838709677419355,620,0.016666666666666666,0.36666666666666664,0.9565217391304348,-0.08333333333333334,0.8813888888888888,0.8636921102672702
visa,candle,1,0,jpeg,matched_condition,visa,source_validated_pool,0.2,0.19264448336252188,0.2,620,0.06666666666666667,0.55,0.8918918918918919,-0.13333333333333336,0.8813888888888888,0.8636921102672702
visa,candle,1,1,blur,matched_condition,visa,source_validated_pool,0.05,0.03502626970227671,0.05,620,0.016666666666666666,0.13333333333333333,0.8888888888888888,-0.03333333333333334,0.8354166666666666,0.8163216888244753
visa,candle,1,1,blur,matched_condition,visa,source_validated_pool,0.1,0.07880910683012259,0.1,620,0.1,0.45,0.8181818181818182,0.0,0.8354166666666666,0.8163216888244753
visa,candle,1,1,blur,matched_condition,visa,source_validated_pool,0.2,0.19607843137254902,0.2,620,0.3,0.8333333333333334,0.7352941176470589,0.09999999999999998,0.8354166666666666,0.8163216888244753
visa,candle,1,1,brightness_contrast,matched_condition,visa,source_validated_pool,0.05,0.03327495621716287,0.0467741935483871,620,0.016666666666666666,0.11666666666666667,0.875,-0.03333333333333334,0.7802777777777776,0.770386174224339
visa,candle,1,1,brightness_contrast,matched_condition,visa,source_validated_pool,0.1,0.06951871657754011,0.1,620,0.06666666666666667,0.3333333333333333,0.8333333333333334,-0.03333333333333334,0.7802777777777776,0.770386174224339
visa,candle,1,1,brightness_contrast,matched_condition,visa,source_validated_pool,0.2,0.19429590017825313,0.19838709677419356,620,0.35,0.7666666666666667,0.6865671641791045,0.14999999999999997,0.7802777777777776,0.770386174224339
visa,candle,1,1,clean,matched_condition,visa,source_validated_pool,0.05,0.03327495621716287,0.0467741935483871,620,0.016666666666666666,0.13333333333333333,0.8888888888888888,-0.03333333333333334,0.8397222222222223,0.8094564575606241
visa,candle,1,1,clean,matched_condition,visa,source_validated_pool,0.1,0.0677361853832442,0.1,620,0.06666666666666667,0.36666666666666664,0.8461538461538461,-0.03333333333333334,0.8397222222222223,0.8094564575606241
visa,candle,1,1,clean,matched_condition,visa,source_validated_pool,0.2,0.19089316987740806,0.1967741935483871,620,0.26666666666666666,0.8166666666666667,0.7538461538461538,0.06666666666666665,0.8397222222222223,0.8094564575606241
visa,candle,1,1,gaussian_noise,matched_condition,visa,source_validated_pool,0.05,0.0297723292469352,0.041935483870967745,620,0.0,0.16666666666666666,1.0,-0.05,0.8452777777777777,0.8426281076006634
visa,candle,1,1,gaussian_noise,matched_condition,visa,source_validated_pool,0.1,0.08021390374331551,0.1,620,0.06666666666666667,0.4166666666666667,0.8620689655172413,-0.03333333333333334,0.8452777777777777,0.8426281076006634
visa,candle,1,1,gaussian_noise,matched_condition,visa,source_validated_pool,0.2,0.18563922942206654,0.2,620,0.26666666666666666,0.7833333333333333,0.746031746031746,0.06666666666666665,0.8452777777777777,0.8426281076006634
visa,candle,1,1,jpeg,matched_condition,visa,source_validated_pool,0.05,0.0338680926916221,0.05,620,0.016666666666666666,0.13333333333333333,0.8888888888888888,-0.03333333333333334,0.8523611111111111,0.8408453530849447
visa,candle,1,1,jpeg,matched_condition,visa,source_validated_pool,0.1,0.07130124777183601,0.1,620,0.06666666666666667,0.35,0.84,-0.03333333333333334,0.8523611111111111,0.8408453530849447
visa,candle,1,1,jpeg,matched_condition,visa,source_validated_pool,0.2,0.19089316987740806,0.2,620,0.25,0.8166666666666667,0.765625,0.04999999999999999,0.8523611111111111,0.8408453530849447
visa,candle,1,2,blur,matched_condition,visa,source_validated_pool,0.05,0.03502626970227671,0.05,620,0.0,0.1,1.0,-0.05,0.8948611111111111,0.8979447335220917
visa,candle,1,2,blur,matched_condition,visa,source_validated_pool,0.1,0.08021390374331551,0.1,620,0.0,0.23333333333333334,1.0,-0.1,0.8948611111111111,0.8979447335220917
